title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
See You Again,"Charlie Puth, Wiz Khalifa",2JzZzZUQj3Qff7wapcbKjc,https://cdnimg.melon.co.kr/cm/album/images/023/09/376/2309376_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,2JzZzZUQj3Qff7wapcbKjc,spotify:track:2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,229526,4
All For You,"서인국, 정은지",0HNIIJzAVqPXmUOZFx03Av,https://cdnimg.melon.co.kr/cm/album/images/021/48/020/2148020_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.477,0.756,2,-3.986,1,0.0615,0.38,0.0,0.107,0.43,207.792,audio_features,0HNIIJzAVqPXmUOZFx03Av,spotify:track:0HNIIJzAVqPXmUOZFx03Av,https://api.spotify.com/v1/tracks/0HNIIJzAVqPXmUOZFx03Av,https://api.spotify.com/v1/audio-analysis/0HNIIJzAVqPXmUOZFx03Av,248190,4
"묘해, 너와",어쿠스틱 콜라보,6doSp9Xoh2i3mdQ3QyHocs,https://cdnimg.melon.co.kr/cm/album/images/022/79/896/2279896_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.667,0.237,11,-9.717,1,0.0433,0.91,0.0,0.0996,0.623,132.345,audio_features,6doSp9Xoh2i3mdQ3QyHocs,spotify:track:6doSp9Xoh2i3mdQ3QyHocs,https://api.spotify.com/v1/tracks/6doSp9Xoh2i3mdQ3QyHocs,https://api.spotify.com/v1/audio-analysis/6doSp9Xoh2i3mdQ3QyHocs,231000,4
Perhaps Love ,"하울, 제이",73lwJ5P3ehRiqimOgWiwOE,https://cdnimg.melon.co.kr/cm/album/images/003/12/880/312880_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.464,0.702,8,-7.328,1,0.0558,0.397,0.0,0.13,0.437,165.491,audio_features,73lwJ5P3ehRiqimOgWiwOE,spotify:track:73lwJ5P3ehRiqimOgWiwOE,https://api.spotify.com/v1/tracks/73lwJ5P3ehRiqimOgWiwOE,https://api.spotify.com/v1/audio-analysis/73lwJ5P3ehRiqimOgWiwOE,275342,4
Let It Go ,Idina Menzel,0qcr5FMsEO85NAQjrlDRKo,https://cdnimg.melon.co.kr/cm2/album/images/022/25/293/2225293_20200528094453_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.543,0.485,8,-6.79,1,0.0305,0.555,0.0,0.12,0.372,136.961,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840,4
너무 보고싶어,어쿠스틱 콜라보,7KpXmNwMOLmyIDeMb70fHI,https://cdnimg.melon.co.kr/cm/album/images/022/82/532/2282532_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.512,0.417,0,-6.499,1,0.0316,0.765,0.0,0.118,0.142,131.733,audio_features,7KpXmNwMOLmyIDeMb70fHI,spotify:track:7KpXmNwMOLmyIDeMb70fHI,https://api.spotify.com/v1/tracks/7KpXmNwMOLmyIDeMb70fHI,https://api.spotify.com/v1/audio-analysis/7KpXmNwMOLmyIDeMb70fHI,245000,4
비밀친구,"펀치, 이정은",0M0Z9VxlTu98B0dlb2rxSb,https://cdnimg.melon.co.kr/cm/album/images/026/56/252/2656252_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.717,0.747,11,-9.578,0,0.0511,0.0601,0.0,0.132,0.816,125.941,audio_features,0M0Z9VxlTu98B0dlb2rxSb,spotify:track:0M0Z9VxlTu98B0dlb2rxSb,https://api.spotify.com/v1/tracks/0M0Z9VxlTu98B0dlb2rxSb,https://api.spotify.com/v1/audio-analysis/0M0Z9VxlTu98B0dlb2rxSb,91429,4
들리나요...,태연 ,0T9Ds8hp6T1k8KAAqp3V45,https://cdnimg.melon.co.kr/cm/album/images/003/97/893/397893_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.428,0.464,10,-6.431,1,0.033,0.797,0.0,0.109,0.163,133.459,audio_features,0T9Ds8hp6T1k8KAAqp3V45,spotify:track:0T9Ds8hp6T1k8KAAqp3V45,https://api.spotify.com/v1/tracks/0T9Ds8hp6T1k8KAAqp3V45,https://api.spotify.com/v1/audio-analysis/0T9Ds8hp6T1k8KAAqp3V45,242227,4
말리꽃,이승철,1RU6gAnZSoxAE1pYTE7cfh,https://cdnimg.melon.co.kr/cm/album/images/003/11/401/311401_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.289,0.367,6,-7.238,1,0.0289,0.593,0.0,0.144,0.11,64.469,audio_features,1RU6gAnZSoxAE1pYTE7cfh,spotify:track:1RU6gAnZSoxAE1pYTE7cfh,https://api.spotify.com/v1/tracks/1RU6gAnZSoxAE1pYTE7cfh,https://api.spotify.com/v1/audio-analysis/1RU6gAnZSoxAE1pYTE7cfh,290493,4
인연,이승철,1WavNG5mSEyqY4UHmESmOT,https://cdnimg.melon.co.kr/cm/album/images/000/34/499/34499_500.jpg/melon/resize/120/quality/80/optimize,etc,OST,0.378,0.308,8,-8.129,1,0.0367,0.81,2.88e-06,0.175,0.116,132.217,audio_features,1WavNG5mSEyqY4UHmESmOT,spotify:track:1WavNG5mSEyqY4UHmESmOT,https://api.spotify.com/v1/tracks/1WavNG5mSEyqY4UHmESmOT,https://api.spotify.com/v1/audio-analysis/1WavNG5mSEyqY4UHmESmOT,281600,4
