title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Y ,프리스타일,1nk9moKBnrWMsXoHxnaeJd,https://cdnimg.melon.co.kr/cm/album/images/000/35/102/35102_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.708,0.432,5,-7.113,0,0.0556,0.81,5.98e-05,0.154,0.628,79.986,audio_features,1nk9moKBnrWMsXoHxnaeJd,spotify:track:1nk9moKBnrWMsXoHxnaeJd,https://api.spotify.com/v1/tracks/1nk9moKBnrWMsXoHxnaeJd,https://api.spotify.com/v1/audio-analysis/1nk9moKBnrWMsXoHxnaeJd,280027,4
"헤어지지 못하는 여자, 떠나가지 못하는 남자 ",리쌍,3Gpdzw72aBVJSrm5J1leVK,https://cdnimg.melon.co.kr/cm/album/images/006/82/952/682952_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.523,0.841,10,-2.505,0,0.331,0.15,0.0,0.164,0.383,173.903,audio_features,3Gpdzw72aBVJSrm5J1leVK,spotify:track:3Gpdzw72aBVJSrm5J1leVK,https://api.spotify.com/v1/tracks/3Gpdzw72aBVJSrm5J1leVK,https://api.spotify.com/v1/audio-analysis/3Gpdzw72aBVJSrm5J1leVK,284627,4
Officially Missing You,긱스 ,7CkjU55ROZSwb95dzGan0o,https://cdnimg.melon.co.kr/cm/album/images/011/96/552/1196552_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.661,0.714,7,-5.524,1,0.114,0.641,0.0,0.287,0.775,92.979,audio_features,7CkjU55ROZSwb95dzGan0o,spotify:track:7CkjU55ROZSwb95dzGan0o,https://api.spotify.com/v1/tracks/7CkjU55ROZSwb95dzGan0o,https://api.spotify.com/v1/audio-analysis/7CkjU55ROZSwb95dzGan0o,210367,4
I Love U Oh Thank U ,MC몽,1KGiNVIzzD0vUZUIErKZTr,https://cdnimg.melon.co.kr/cm/album/images/003/02/961/302961_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.69,0.626,0,-5.726,1,0.0399,0.431,0.0,0.0826,0.566,90.016,audio_features,1KGiNVIzzD0vUZUIErKZTr,spotify:track:1KGiNVIzzD0vUZUIErKZTr,https://api.spotify.com/v1/tracks/1KGiNVIzzD0vUZUIErKZTr,https://api.spotify.com/v1/audio-analysis/1KGiNVIzzD0vUZUIErKZTr,252933,4
너에게 쓰는 편지 ,MC몽,22T59ClErOrgyWmXG7rUDd,https://cdnimg.melon.co.kr/cm/album/images/000/34/486/34486_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.678,0.497,8,-6.812,1,0.0385,0.48,0.0,0.154,0.733,95.971,audio_features,22T59ClErOrgyWmXG7rUDd,spotify:track:22T59ClErOrgyWmXG7rUDd,https://api.spotify.com/v1/tracks/22T59ClErOrgyWmXG7rUDd,https://api.spotify.com/v1/audio-analysis/22T59ClErOrgyWmXG7rUDd,208280,4
Ballerino,리쌍,1k4poPLl62xepcGZx855Iw,https://cdnimg.melon.co.kr/cm/album/images/003/51/473/351473_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.685,0.779,7,-4.467,0,0.0536,0.217,0.0,0.352,0.717,95.026,audio_features,1k4poPLl62xepcGZx855Iw,spotify:track:1k4poPLl62xepcGZx855Iw,https://api.spotify.com/v1/tracks/1k4poPLl62xepcGZx855Iw,https://api.spotify.com/v1/audio-analysis/1k4poPLl62xepcGZx855Iw,267320,4
예술이야,싸이 ,69WgRMShDauD0eMCAL1gRK,https://cdnimg.melon.co.kr/cm/album/images/010/44/555/1044555_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.618,0.843,1,-4.209,1,0.049,0.116,0.0,0.124,0.303,127.921,audio_features,69WgRMShDauD0eMCAL1gRK,spotify:track:69WgRMShDauD0eMCAL1gRK,https://api.spotify.com/v1/tracks/69WgRMShDauD0eMCAL1gRK,https://api.spotify.com/v1/audio-analysis/69WgRMShDauD0eMCAL1gRK,245802,4
Aqua Man,빈지노 ,5tEouf2s1SPwAIkOHnvWtQ,https://cdnimg.melon.co.kr/cm/album/images/021/34/788/2134788_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.693,0.649,6,-4.608,0,0.205,0.346,0.0,0.226,0.587,94.979,audio_features,5tEouf2s1SPwAIkOHnvWtQ,spotify:track:5tEouf2s1SPwAIkOHnvWtQ,https://api.spotify.com/v1/tracks/5tEouf2s1SPwAIkOHnvWtQ,https://api.spotify.com/v1/audio-analysis/5tEouf2s1SPwAIkOHnvWtQ,226613,4
Love Love Love ,에픽하이 ,7hlEhmg5h9XuFtaGfgvqjF,https://cdnimg.melon.co.kr/cm/album/images/003/42/967/342967_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.788,0.881,1,-3.678,0,0.0646,0.059,0.0,0.17,0.785,127.976,audio_features,7hlEhmg5h9XuFtaGfgvqjF,spotify:track:7hlEhmg5h9XuFtaGfgvqjF,https://api.spotify.com/v1/tracks/7hlEhmg5h9XuFtaGfgvqjF,https://api.spotify.com/v1/audio-analysis/7hlEhmg5h9XuFtaGfgvqjF,231093,4
눈물 ,리쌍,5WO8MdgIrbNBo9TeKzTVBl,https://cdnimg.melon.co.kr/cm/album/images/021/73/499/2173499_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.682,0.856,11,-4.901,1,0.0534,0.219,0.0,0.0842,0.7,97.998,audio_features,5WO8MdgIrbNBo9TeKzTVBl,spotify:track:5WO8MdgIrbNBo9TeKzTVBl,https://api.spotify.com/v1/tracks/5WO8MdgIrbNBo9TeKzTVBl,https://api.spotify.com/v1/audio-analysis/5WO8MdgIrbNBo9TeKzTVBl,254587,4
? ,프라이머리,7JP52GV8vNXsStgo6k5tjB,https://cdnimg.melon.co.kr/cm/album/images/021/61/126/2161126_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.71,0.591,4,-9.523,0,0.0347,0.119,0.000635,0.082,0.299,141.871,audio_features,7JP52GV8vNXsStgo6k5tjB,spotify:track:7JP52GV8vNXsStgo6k5tjB,https://api.spotify.com/v1/tracks/7JP52GV8vNXsStgo6k5tjB,https://api.spotify.com/v1/audio-analysis/7JP52GV8vNXsStgo6k5tjB,274860,4
광대 ,리쌍,7aZm9Uq1lesRJCpv4tWQks,https://cdnimg.melon.co.kr/cm/album/images/003/08/473/308473_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.697,0.898,10,-3.222,0,0.178,0.245,0.0,0.136,0.654,160.81,audio_features,7aZm9Uq1lesRJCpv4tWQks,spotify:track:7aZm9Uq1lesRJCpv4tWQks,https://api.spotify.com/v1/tracks/7aZm9Uq1lesRJCpv4tWQks,https://api.spotify.com/v1/audio-analysis/7aZm9Uq1lesRJCpv4tWQks,226693,3
몽환의 숲 ,키네틱 플로우,3rQRx89A7kGuyXMbE72WCa,https://cdnimg.melon.co.kr/cm/album/images/003/14/324/314324_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.738,0.648,4,-7.107,1,0.0515,0.051,1.25e-05,0.12,0.59,84.986,audio_features,3rQRx89A7kGuyXMbE72WCa,spotify:track:3rQRx89A7kGuyXMbE72WCa,https://api.spotify.com/v1/tracks/3rQRx89A7kGuyXMbE72WCa,https://api.spotify.com/v1/audio-analysis/3rQRx89A7kGuyXMbE72WCa,244747,4
Bk Love,MC 스나이퍼,12WJh701b8EPb7E1sG1U0t,https://cdnimg.melon.co.kr/cm/album/images/000/40/134/40134_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.556,0.675,11,-5.261,0,0.0366,0.312,0.074,0.116,0.492,165.954,audio_features,12WJh701b8EPb7E1sG1U0t,spotify:track:12WJh701b8EPb7E1sG1U0t,https://api.spotify.com/v1/tracks/12WJh701b8EPb7E1sG1U0t,https://api.spotify.com/v1/audio-analysis/12WJh701b8EPb7E1sG1U0t,263485,4
Missing You ,G-DRAGON,3BqfHyw9cLm6POreivziWN,https://cdnimg.melon.co.kr/cm/album/images/021/47/867/2147867_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 랩힙합,0.742,0.792,5,-4.713,1,0.0651,0.138,0.0,0.0704,0.78,123.001,audio_features,3BqfHyw9cLm6POreivziWN,spotify:track:3BqfHyw9cLm6POreivziWN,https://api.spotify.com/v1/tracks/3BqfHyw9cLm6POreivziWN,https://api.spotify.com/v1/audio-analysis/3BqfHyw9cLm6POreivziWN,207090,4
