title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"스물다섯, 스물하나",자우림,3DmDPYRQYdYE5gWf2DiKn2,https://cdnimg.melon.co.kr/cm/album/images/022/10/557/2210557_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.245,0.504,0,-6.337,1,0.0325,0.184,0.000373,0.149,0.15,156.904,audio_features,3DmDPYRQYdYE5gWf2DiKn2,spotify:track:3DmDPYRQYdYE5gWf2DiKn2,https://api.spotify.com/v1/tracks/3DmDPYRQYdYE5gWf2DiKn2,https://api.spotify.com/v1/audio-analysis/3DmDPYRQYdYE5gWf2DiKn2,284720,4
남자를 몰라,버즈,14X8vgIFfedRp3Yh8ocLYw,https://cdnimg.melon.co.kr/cm/album/images/003/17/113/317113_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.416,0.76,2,-3.783,1,0.0604,0.109,0.0,0.15,0.212,169.633,audio_features,14X8vgIFfedRp3Yh8ocLYw,spotify:track:14X8vgIFfedRp3Yh8ocLYw,https://api.spotify.com/v1/tracks/14X8vgIFfedRp3Yh8ocLYw,https://api.spotify.com/v1/audio-analysis/14X8vgIFfedRp3Yh8ocLYw,252760,4
사랑의 바보,더 넛츠 ,3wYDgvDi82GUU1NPy2roYp,https://cdnimg.melon.co.kr/cm/album/images/000/35/269/35269_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.626,0.657,0,-5.535,1,0.0424,0.0623,0.0,0.218,0.5,117.956,audio_features,3wYDgvDi82GUU1NPy2roYp,spotify:track:3wYDgvDi82GUU1NPy2roYp,https://api.spotify.com/v1/tracks/3wYDgvDi82GUU1NPy2roYp,https://api.spotify.com/v1/audio-analysis/3wYDgvDi82GUU1NPy2roYp,261630,4
겁쟁이,버즈,6Ef8tkhiFOOFOAeaQBFqtA,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.47,0.432,10,-6.615,0,0.0294,0.304,1.2e-06,0.106,0.272,72.054,audio_features,6Ef8tkhiFOOFOAeaQBFqtA,spotify:track:6Ef8tkhiFOOFOAeaQBFqtA,https://api.spotify.com/v1/tracks/6Ef8tkhiFOOFOAeaQBFqtA,https://api.spotify.com/v1/audio-analysis/6Ef8tkhiFOOFOAeaQBFqtA,283960,4
Never Ending Story,부활,0yamqkAFAmpdLNVcmJLSo8,https://cdnimg.melon.co.kr/cm/album/images/000/16/672/16672_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.366,0.483,6,-6.602,1,0.0349,0.495,0.0,0.0881,0.192,122.09,audio_features,0yamqkAFAmpdLNVcmJLSo8,spotify:track:0yamqkAFAmpdLNVcmJLSo8,https://api.spotify.com/v1/tracks/0yamqkAFAmpdLNVcmJLSo8,https://api.spotify.com/v1/audio-analysis/0yamqkAFAmpdLNVcmJLSo8,253933,4
Monologue,버즈,0ay8fHEeIE1n4Mt6qKaTyt,https://cdnimg.melon.co.kr/cm2/album/images/000/32/889/32889_20220615123143_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.491,0.595,4,-7.191,1,0.0414,0.00693,0.0,0.369,0.293,82.017,audio_features,0ay8fHEeIE1n4Mt6qKaTyt,spotify:track:0ay8fHEeIE1n4Mt6qKaTyt,https://api.spotify.com/v1/tracks/0ay8fHEeIE1n4Mt6qKaTyt,https://api.spotify.com/v1/audio-analysis/0ay8fHEeIE1n4Mt6qKaTyt,259800,4
나에게로 떠나는 여행,버즈,4K35mmvZKAq3ue2TyXisMW,https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.507,0.707,0,-3.839,1,0.0828,0.068,5.15e-05,0.063,0.79,174.929,audio_features,4K35mmvZKAq3ue2TyXisMW,spotify:track:4K35mmvZKAq3ue2TyXisMW,https://api.spotify.com/v1/tracks/4K35mmvZKAq3ue2TyXisMW,https://api.spotify.com/v1/audio-analysis/4K35mmvZKAq3ue2TyXisMW,208000,4
이미 슬픈 사랑,야다 ,4OKJVnIyO8KRq182dstNOI,https://cdnimg.melon.co.kr/cm/album/images/000/05/446/5446_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.448,0.545,6,-6.86,1,0.0327,0.0613,0.0,0.107,0.0798,125.839,audio_features,4OKJVnIyO8KRq182dstNOI,spotify:track:4OKJVnIyO8KRq182dstNOI,https://api.spotify.com/v1/tracks/4OKJVnIyO8KRq182dstNOI,https://api.spotify.com/v1/audio-analysis/4OKJVnIyO8KRq182dstNOI,243908,4
비밀번호 486,윤하 ,0GtnPY1LePGHquWzIEiqMj,https://cdnimg.melon.co.kr/cm/album/images/003/47/264/347264_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.622,0.882,9,-2.886,1,0.105,0.0867,0.0,0.0931,0.726,136.926,audio_features,0GtnPY1LePGHquWzIEiqMj,spotify:track:0GtnPY1LePGHquWzIEiqMj,https://api.spotify.com/v1/tracks/0GtnPY1LePGHquWzIEiqMj,https://api.spotify.com/v1/audio-analysis/0GtnPY1LePGHquWzIEiqMj,228153,4
고백,델리스파이스,20tWEsVsKU6FfzXGt4IOuV,https://cdnimg.melon.co.kr/cm/album/images/000/29/678/29678_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.473,0.644,6,-4.447,1,0.027,0.0588,0.0,0.0942,0.24,79.617,audio_features,20tWEsVsKU6FfzXGt4IOuV,spotify:track:20tWEsVsKU6FfzXGt4IOuV,https://api.spotify.com/v1/tracks/20tWEsVsKU6FfzXGt4IOuV,https://api.spotify.com/v1/audio-analysis/20tWEsVsKU6FfzXGt4IOuV,323532,4
Endless,플라워,1OzCTRwO4znqWZsPJZpRSt,https://cdnimg.melon.co.kr/cm/album/images/000/00/781/781_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 록메탈,0.45,0.594,0,-5.458,1,0.028,0.244,0.0,0.242,0.282,73.826,audio_features,1OzCTRwO4znqWZsPJZpRSt,spotify:track:1OzCTRwO4znqWZsPJZpRSt,https://api.spotify.com/v1/tracks/1OzCTRwO4znqWZsPJZpRSt,https://api.spotify.com/v1/audio-analysis/1OzCTRwO4znqWZsPJZpRSt,255556,4
