title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
스토커,10CM,5rXkWmQz7HKaNjbvcruAUe,https://cdnimg.melon.co.kr/cm/album/images/022/90/452/2290452_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.498,0.177,5,-8.75,1,0.0371,0.936,0.0,0.11,0.319,130.916,audio_features,5rXkWmQz7HKaNjbvcruAUe,spotify:track:5rXkWmQz7HKaNjbvcruAUe,https://api.spotify.com/v1/tracks/5rXkWmQz7HKaNjbvcruAUe,https://api.spotify.com/v1/audio-analysis/5rXkWmQz7HKaNjbvcruAUe,259571,4
200%,AKMU ,6qkx0tenDglbF21CU4wa1k,https://cdnimg.melon.co.kr/cm/album/images/022/49/127/2249127_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.853,0.638,1,-4.911,1,0.0536,0.379,0.0,0.27,0.872,102.064,audio_features,6qkx0tenDglbF21CU4wa1k,spotify:track:6qkx0tenDglbF21CU4wa1k,https://api.spotify.com/v1/tracks/6qkx0tenDglbF21CU4wa1k,https://api.spotify.com/v1/audio-analysis/6qkx0tenDglbF21CU4wa1k,193321,4
Give Love,AKMU ,2A3ShNautqXezP1lFDePwa,https://cdnimg.melon.co.kr/cm/album/images/022/49/127/2249127_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.793,0.706,5,-4.536,1,0.0695,0.332,0.0,0.0752,0.839,95.992,audio_features,2A3ShNautqXezP1lFDePwa,spotify:track:2A3ShNautqXezP1lFDePwa,https://api.spotify.com/v1/tracks/2A3ShNautqXezP1lFDePwa,https://api.spotify.com/v1/audio-analysis/2A3ShNautqXezP1lFDePwa,176532,4
Little Star,스탠딩 에그,7sLXhTvxyWtuTh7196N8gx,https://cdnimg.melon.co.kr/cm/album/images/013/28/152/1328152_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.45,0.278,3,-10.988,1,0.0344,0.466,0.0,0.365,0.541,130.001,audio_features,7sLXhTvxyWtuTh7196N8gx,spotify:track:7sLXhTvxyWtuTh7196N8gx,https://api.spotify.com/v1/tracks/7sLXhTvxyWtuTh7196N8gx,https://api.spotify.com/v1/audio-analysis/7sLXhTvxyWtuTh7196N8gx,212867,4
애상,10CM,2eCIpp1f2jrJzVrpaASqlq,https://cdnimg.melon.co.kr/cm/album/images/020/59/186/2059186_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.754,0.38,4,-4.2,1,0.0438,0.687,0.0,0.133,0.669,123.891,audio_features,2eCIpp1f2jrJzVrpaASqlq,spotify:track:2eCIpp1f2jrJzVrpaASqlq,https://api.spotify.com/v1/tracks/2eCIpp1f2jrJzVrpaASqlq,https://api.spotify.com/v1/audio-analysis/2eCIpp1f2jrJzVrpaASqlq,227955,4
너무 아픈 사랑은 사랑이 아니었음을,김광석,42cwRiFR25LYJG6CCsjWo9,https://cdnimg.melon.co.kr/cm/album/images/010/47/955/1047955_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.71,0.429,4,-10.337,0,0.0413,0.0935,0.000828,0.0464,0.294,140.061,audio_features,42cwRiFR25LYJG6CCsjWo9,spotify:track:42cwRiFR25LYJG6CCsjWo9,https://api.spotify.com/v1/tracks/42cwRiFR25LYJG6CCsjWo9,https://api.spotify.com/v1/audio-analysis/42cwRiFR25LYJG6CCsjWo9,379013,4
잊어야 한다는 마음으로,김광석,67Yg0uYQB14o3gQ3RLwD7x,https://cdnimg.melon.co.kr/cm/album/images/010/47/953/1047953_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.622,0.188,7,-19.679,1,0.0271,0.542,5.22e-05,0.076,0.146,139.939,audio_features,67Yg0uYQB14o3gQ3RLwD7x,spotify:track:67Yg0uYQB14o3gQ3RLwD7x,https://api.spotify.com/v1/tracks/67Yg0uYQB14o3gQ3RLwD7x,https://api.spotify.com/v1/audio-analysis/67Yg0uYQB14o3gQ3RLwD7x,257933,4
서른 즈음에,김광석,22hQftFZWw1XIowMmT8tAP,https://cdnimg.melon.co.kr/cm/album/images/010/47/955/1047955_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.461,0.246,9,-9.621,1,0.0283,0.752,0.0,0.116,0.151,127.239,audio_features,22hQftFZWw1XIowMmT8tAP,spotify:track:22hQftFZWw1XIowMmT8tAP,https://api.spotify.com/v1/tracks/22hQftFZWw1XIowMmT8tAP,https://api.spotify.com/v1/audio-analysis/22hQftFZWw1XIowMmT8tAP,282933,4
사랑했지만,김광석,0G3lpatOjT98t1aErshKuc,https://cdnimg.melon.co.kr/cm/album/images/101/87/737/10187737_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.492,0.257,0,-15.357,1,0.0262,0.107,0.0796,0.105,0.0824,77.971,audio_features,0G3lpatOjT98t1aErshKuc,spotify:track:0G3lpatOjT98t1aErshKuc,https://api.spotify.com/v1/tracks/0G3lpatOjT98t1aErshKuc,https://api.spotify.com/v1/audio-analysis/0G3lpatOjT98t1aErshKuc,268400,4
"그대와 나, 설레임 ",어쿠스틱 콜라보,6nhr8JRfbqowTnf7p7Ysv2,https://cdnimg.melon.co.kr/cm/album/images/020/18/706/2018706_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 포크블루스,0.607,0.404,6,-6.093,0,0.0336,0.782,0.0,0.212,0.597,78.071,audio_features,6nhr8JRfbqowTnf7p7Ysv2,spotify:track:6nhr8JRfbqowTnf7p7Ysv2,https://api.spotify.com/v1/tracks/6nhr8JRfbqowTnf7p7Ysv2,https://api.spotify.com/v1/audio-analysis/6nhr8JRfbqowTnf7p7Ysv2,218040,4
