title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
비행기,거북이,3GcTcXCJLVdy7iYhSKPGUp,https://cdnimg.melon.co.kr/cm/album/images/003/22/845/322845_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.745,0.986,7,-2.442,1,0.0683,0.197,0.0,0.374,0.861,119.963,audio_features,3GcTcXCJLVdy7iYhSKPGUp,spotify:track:3GcTcXCJLVdy7iYhSKPGUp,https://api.spotify.com/v1/tracks/3GcTcXCJLVdy7iYhSKPGUp,https://api.spotify.com/v1/audio-analysis/3GcTcXCJLVdy7iYhSKPGUp,212960,4
I Don't Care,2NE1,1ErdaM9N7EJ7trhXFnDECg,https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.813,0.785,1,-3.881,0,0.0921,0.065,0.0,0.0747,0.852,131.978,audio_features,1ErdaM9N7EJ7trhXFnDECg,spotify:track:1ErdaM9N7EJ7trhXFnDECg,https://api.spotify.com/v1/tracks/1ErdaM9N7EJ7trhXFnDECg,https://api.spotify.com/v1/audio-analysis/1ErdaM9N7EJ7trhXFnDECg,238213,4
SHAKE IT,씨스타,59FBFyeST1vqN8G41YgFS6,https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.778,0.957,11,-2.57,0,0.0735,0.0234,0.0,0.715,0.611,118.997,audio_features,59FBFyeST1vqN8G41YgFS6,spotify:track:59FBFyeST1vqN8G41YgFS6,https://api.spotify.com/v1/tracks/59FBFyeST1vqN8G41YgFS6,https://api.spotify.com/v1/audio-analysis/59FBFyeST1vqN8G41YgFS6,208507,4
8282,다비치,7y4oE4ATKrE9XIM9XSeyQN,https://cdnimg.melon.co.kr/cm/album/images/005/08/460/508460_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.561,0.675,2,-5.6,1,0.0783,0.0806,0.0,0.095,0.277,143.037,audio_features,7y4oE4ATKrE9XIM9XSeyQN,spotify:track:7y4oE4ATKrE9XIM9XSeyQN,https://api.spotify.com/v1/tracks/7y4oE4ATKrE9XIM9XSeyQN,https://api.spotify.com/v1/audio-analysis/7y4oE4ATKrE9XIM9XSeyQN,219160,3
T.T.L ,티아라,4Mpl9b4soNq6nILUkDTZZv,https://cdnimg.melon.co.kr/cm/album/images/007/27/252/727252_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.646,0.937,9,-1.046,0,0.16,0.221,0.0,0.142,0.69,105.038,audio_features,4Mpl9b4soNq6nILUkDTZZv,spotify:track:4Mpl9b4soNq6nILUkDTZZv,https://api.spotify.com/v1/tracks/4Mpl9b4soNq6nILUkDTZZv,https://api.spotify.com/v1/audio-analysis/4Mpl9b4soNq6nILUkDTZZv,218347,4
Touch My Body,씨스타,5crARIrvoMiMf2AdlD78WN,https://cdnimg.melon.co.kr/cm/album/images/022/68/221/2268221_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.633,0.915,9,-2.347,1,0.106,0.0437,0.0,0.107,0.622,128.033,audio_features,5crARIrvoMiMf2AdlD78WN,spotify:track:5crARIrvoMiMf2AdlD78WN,https://api.spotify.com/v1/tracks/5crARIrvoMiMf2AdlD78WN,https://api.spotify.com/v1/audio-analysis/5crARIrvoMiMf2AdlD78WN,206500,4
순정 ,코요태,72BBOHxdKWlaRZ3lZZdeg6,https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.621,0.866,4,-2.206,0,0.0497,0.00223,0.122,0.319,0.961,137.012,audio_features,72BBOHxdKWlaRZ3lZZdeg6,spotify:track:72BBOHxdKWlaRZ3lZZdeg6,https://api.spotify.com/v1/tracks/72BBOHxdKWlaRZ3lZZdeg6,https://api.spotify.com/v1/audio-analysis/72BBOHxdKWlaRZ3lZZdeg6,115667,4
Loving U ,씨스타,65w0pdINTiQjWBaE4Rws9Y,https://cdnimg.melon.co.kr/cm/album/images/021/31/509/2131509_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.687,0.857,9,-2.084,1,0.0753,0.188,0.0,0.306,0.906,124.999,audio_features,65w0pdINTiQjWBaE4Rws9Y,spotify:track:65w0pdINTiQjWBaE4Rws9Y,https://api.spotify.com/v1/tracks/65w0pdINTiQjWBaE4Rws9Y,https://api.spotify.com/v1/audio-analysis/65w0pdINTiQjWBaE4Rws9Y,217966,4
연예인,싸이 ,5s3ESdthJZaA4Tuqj3Nz8V,https://cdnimg.melon.co.kr/cm/album/images/003/22/649/322649_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.741,0.942,7,-2.89,1,0.0526,0.0262,0.0,0.3,0.842,122.97,audio_features,5s3ESdthJZaA4Tuqj3Nz8V,spotify:track:5s3ESdthJZaA4Tuqj3Nz8V,https://api.spotify.com/v1/tracks/5s3ESdthJZaA4Tuqj3Nz8V,https://api.spotify.com/v1/audio-analysis/5s3ESdthJZaA4Tuqj3Nz8V,204613,4
Roly-Poly,티아라,1p9damTV6h7u7THZKZB2tW,https://cdnimg.melon.co.kr/cm/album/images/013/17/401/1317401_500.jpg/melon/resize/120/quality/80/optimize,Domestic,댄스,0.832,0.848,7,-7.407,1,0.0545,0.0919,2.83e-05,0.0458,0.901,130.004,audio_features,1p9damTV6h7u7THZKZB2tW,spotify:track:1p9damTV6h7u7THZKZB2tW,https://api.spotify.com/v1/tracks/1p9damTV6h7u7THZKZB2tW,https://api.spotify.com/v1/audio-analysis/1p9damTV6h7u7THZKZB2tW,214427,4
