title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sticky,KISS OF LIFE,4e1aewX6ATPcdfQIqr7gqO,https://cdnimg.melon.co.kr/cm2/album/images/115/25/661/11525661_20240628155508_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.702,0.701,10,-3.86,0,0.0758,0.391,0.0,0.132,0.595,99.971,audio_features,4e1aewX6ATPcdfQIqr7gqO,spotify:track:4e1aewX6ATPcdfQIqr7gqO,https://api.spotify.com/v1/tracks/4e1aewX6ATPcdfQIqr7gqO,https://api.spotify.com/v1/audio-analysis/4e1aewX6ATPcdfQIqr7gqO,157120,4
한 페이지가 될 수 있게,DAY6 ,0EhdXt3y460mTRsi97Pyk5,https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.51,0.975,8,-2.758,1,0.053,0.00428,0.0,0.222,0.747,174.973,audio_features,0EhdXt3y460mTRsi97Pyk5,spotify:track:0EhdXt3y460mTRsi97Pyk5,https://api.spotify.com/v1/tracks/0EhdXt3y460mTRsi97Pyk5,https://api.spotify.com/v1/audio-analysis/0EhdXt3y460mTRsi97Pyk5,205576,4
Bubble Gum,NewJeans,19D8LNpWwIPpi6hs9BG7dq,https://cdnimg.melon.co.kr/cm2/album/images/114/75/749/11475749_20240524105642_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.758,0.709,9,-3.589,1,0.0447,0.138,0.0,0.0765,0.529,105.005,audio_features,19D8LNpWwIPpi6hs9BG7dq,spotify:track:19D8LNpWwIPpi6hs9BG7dq,https://api.spotify.com/v1/tracks/19D8LNpWwIPpi6hs9BG7dq,https://api.spotify.com/v1/audio-analysis/19D8LNpWwIPpi6hs9BG7dq,200267,4
Attention,NewJeans,2pIUpMhHL6L9Z5lnKxJJr9,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,0.695,104.988,audio_features,2pIUpMhHL6L9Z5lnKxJJr9,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,https://api.spotify.com/v1/tracks/2pIUpMhHL6L9Z5lnKxJJr9,https://api.spotify.com/v1/audio-analysis/2pIUpMhHL6L9Z5lnKxJJr9,180067,4
Super Shy,NewJeans,5sdQOyqq2IDhvmx2lHOpwd,https://cdnimg.melon.co.kr/cm2/album/images/112/81/456/11281456_20230706180841_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,audio_features,5sdQOyqq2IDhvmx2lHOpwd,spotify:track:5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/tracks/5sdQOyqq2IDhvmx2lHOpwd,https://api.spotify.com/v1/audio-analysis/5sdQOyqq2IDhvmx2lHOpwd,154667,4
비행기,거북이,3GcTcXCJLVdy7iYhSKPGUp,https://cdnimg.melon.co.kr/cm/album/images/003/22/845/322845_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.745,0.986,7,-2.442,1,0.0683,0.197,0.0,0.374,0.861,119.963,audio_features,3GcTcXCJLVdy7iYhSKPGUp,spotify:track:3GcTcXCJLVdy7iYhSKPGUp,https://api.spotify.com/v1/tracks/3GcTcXCJLVdy7iYhSKPGUp,https://api.spotify.com/v1/audio-analysis/3GcTcXCJLVdy7iYhSKPGUp,212960,4
Weekend,태연 ,0n1jo6k1GUzyrcXW2aS0iL,https://cdnimg.melon.co.kr/cm2/album/images/106/45/654/10645654_20210706155154_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.74,0.854,8,-2.209,1,0.0525,0.0783,0.000532,0.253,0.856,114.029,audio_features,0n1jo6k1GUzyrcXW2aS0iL,spotify:track:0n1jo6k1GUzyrcXW2aS0iL,https://api.spotify.com/v1/tracks/0n1jo6k1GUzyrcXW2aS0iL,https://api.spotify.com/v1/audio-analysis/0n1jo6k1GUzyrcXW2aS0iL,233413,4
Dance The Night Away,TWICE ,2fQdK9TqM1mCURsjEcT0ly,https://cdnimg.melon.co.kr/cm/album/images/101/83/127/10183127_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.709,0.861,0,-2.905,1,0.0941,0.106,4.73e-05,0.112,0.779,118.089,audio_features,2fQdK9TqM1mCURsjEcT0ly,spotify:track:2fQdK9TqM1mCURsjEcT0ly,https://api.spotify.com/v1/tracks/2fQdK9TqM1mCURsjEcT0ly,https://api.spotify.com/v1/audio-analysis/2fQdK9TqM1mCURsjEcT0ly,180809,4
Underwater,권은비,5bdmWBCaiaHk2HbqKOXLyJ,https://cdnimg.melon.co.kr/cm2/album/images/110/75/327/11075327_20221012134651_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.751,0.929,10,-1.213,0,0.0585,0.0733,2.37e-05,0.0833,0.678,115.018,audio_features,5bdmWBCaiaHk2HbqKOXLyJ,spotify:track:5bdmWBCaiaHk2HbqKOXLyJ,https://api.spotify.com/v1/tracks/5bdmWBCaiaHk2HbqKOXLyJ,https://api.spotify.com/v1/audio-analysis/5bdmWBCaiaHk2HbqKOXLyJ,170600,4
SHAKE IT,씨스타,59FBFyeST1vqN8G41YgFS6,https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.778,0.957,11,-2.57,0,0.0735,0.0234,0.0,0.715,0.611,118.997,audio_features,59FBFyeST1vqN8G41YgFS6,spotify:track:59FBFyeST1vqN8G41YgFS6,https://api.spotify.com/v1/tracks/59FBFyeST1vqN8G41YgFS6,https://api.spotify.com/v1/audio-analysis/59FBFyeST1vqN8G41YgFS6,208507,4
DINOSAUR,AKMU ,49KDK2ccYnOCYPeXfDO3YT,https://cdnimg.melon.co.kr/cm/album/images/100/81/450/10081450_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.767,0.755,11,-3.938,0,0.03,0.303,3.62e-05,0.105,0.631,120.978,audio_features,49KDK2ccYnOCYPeXfDO3YT,spotify:track:49KDK2ccYnOCYPeXfDO3YT,https://api.spotify.com/v1/tracks/49KDK2ccYnOCYPeXfDO3YT,https://api.spotify.com/v1/audio-analysis/49KDK2ccYnOCYPeXfDO3YT,240572,4
Dolphin,오마이걸 ,5gpojs9yi3nm8aC3BOg6q5,https://cdnimg.melon.co.kr/cm2/album/images/104/23/289/10423289_20200427153909_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.859,0.669,4,-4.539,1,0.0835,0.166,0.0,0.265,0.555,113.986,audio_features,5gpojs9yi3nm8aC3BOg6q5,spotify:track:5gpojs9yi3nm8aC3BOg6q5,https://api.spotify.com/v1/tracks/5gpojs9yi3nm8aC3BOg6q5,https://api.spotify.com/v1/audio-analysis/5gpojs9yi3nm8aC3BOg6q5,176773,4
아주 NICE,세븐틴 ,6blhCBhLwkXjtKElY9lGlx,https://cdnimg.melon.co.kr/cm/album/images/026/95/228/2695228_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.647,0.334,5,-14.403,0,0.0468,0.949,0.838,0.131,0.536,110.011,audio_features,6blhCBhLwkXjtKElY9lGlx,spotify:track:6blhCBhLwkXjtKElY9lGlx,https://api.spotify.com/v1/tracks/6blhCBhLwkXjtKElY9lGlx,https://api.spotify.com/v1/audio-analysis/6blhCBhLwkXjtKElY9lGlx,201261,4
Forever Young,BLACKPINK,2Pp9osgyIcw6o1avfDDDhH,https://cdnimg.melon.co.kr/cm/album/images/101/76/415/10176415_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,audio_features,2Pp9osgyIcw6o1avfDDDhH,spotify:track:2Pp9osgyIcw6o1avfDDDhH,https://api.spotify.com/v1/tracks/2Pp9osgyIcw6o1avfDDDhH,https://api.spotify.com/v1/audio-analysis/2Pp9osgyIcw6o1avfDDDhH,237077,4
Touch My Body,씨스타,5crARIrvoMiMf2AdlD78WN,https://cdnimg.melon.co.kr/cm/album/images/022/68/221/2268221_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.633,0.915,9,-2.347,1,0.106,0.0437,0.0,0.107,0.622,128.033,audio_features,5crARIrvoMiMf2AdlD78WN,spotify:track:5crARIrvoMiMf2AdlD78WN,https://api.spotify.com/v1/tracks/5crARIrvoMiMf2AdlD78WN,https://api.spotify.com/v1/audio-analysis/5crARIrvoMiMf2AdlD78WN,206500,4
Loving U ,씨스타,65w0pdINTiQjWBaE4Rws9Y,https://cdnimg.melon.co.kr/cm/album/images/021/31/509/2131509_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.687,0.857,9,-2.084,1,0.0753,0.188,0.0,0.306,0.906,124.999,audio_features,65w0pdINTiQjWBaE4Rws9Y,spotify:track:65w0pdINTiQjWBaE4Rws9Y,https://api.spotify.com/v1/tracks/65w0pdINTiQjWBaE4Rws9Y,https://api.spotify.com/v1/audio-analysis/65w0pdINTiQjWBaE4Rws9Y,217966,4
Dun Dun Dance,오마이걸 ,5rp3c6ueLX4XjTeDS1RLjN,https://cdnimg.melon.co.kr/cm2/album/images/106/04/729/10604729_20210510143932_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.66,0.958,1,-0.366,0,0.0826,0.169,0.0,0.226,0.74,114.97,audio_features,5rp3c6ueLX4XjTeDS1RLjN,spotify:track:5rp3c6ueLX4XjTeDS1RLjN,https://api.spotify.com/v1/tracks/5rp3c6ueLX4XjTeDS1RLjN,https://api.spotify.com/v1/audio-analysis/5rp3c6ueLX4XjTeDS1RLjN,220573,4
파도,유엔,66Ea5DkLH0Ok6wR2zuqZcM,https://cdnimg.melon.co.kr/cm/album/images/000/33/475/33475_500.jpg/melon/resize/120/quality/80/optimize,none,바다,0.64,0.954,3,-3.153,1,0.0367,0.0632,0.0,0.387,0.809,138.05,audio_features,66Ea5DkLH0Ok6wR2zuqZcM,spotify:track:66Ea5DkLH0Ok6wR2zuqZcM,https://api.spotify.com/v1/tracks/66Ea5DkLH0Ok6wR2zuqZcM,https://api.spotify.com/v1/audio-analysis/66Ea5DkLH0Ok6wR2zuqZcM,251847,4
