title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hey Mama ,285HeuLxsngjFn4GGegGNm,0.596,0.73,9,-4.091,1,0.151,0.24,0.0,0.325,0.525,85.979,audio_features,285HeuLxsngjFn4GGegGNm,spotify:track:285HeuLxsngjFn4GGegGNm,https://api.spotify.com/v1/tracks/285HeuLxsngjFn4GGegGNm,https://api.spotify.com/v1/audio-analysis/285HeuLxsngjFn4GGegGNm,192560,4
The Nights,0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4
Titanium ,0TDLuuLlV54CkRRUOahJb4,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,0TDLuuLlV54CkRRUOahJb4,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,245040,4
Samsara ,6oJflQkp7lFXOQce4wPTAW,0.489,0.641,11,-7.011,0,0.032,0.00598,0.0201,0.122,0.587,108.901,audio_features,6oJflQkp7lFXOQce4wPTAW,spotify:track:6oJflQkp7lFXOQce4wPTAW,https://api.spotify.com/v1/tracks/6oJflQkp7lFXOQce4wPTAW,https://api.spotify.com/v1/audio-analysis/6oJflQkp7lFXOQce4wPTAW,211885,4
Waiting For Love,2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,audio_features,2P4OICZRVAQcYAV2JReRfj,spotify:track:2P4OICZRVAQcYAV2JReRfj,https://api.spotify.com/v1/tracks/2P4OICZRVAQcYAV2JReRfj,https://api.spotify.com/v1/audio-analysis/2P4OICZRVAQcYAV2JReRfj,230613,4
The Bad Touch ,1TSZgch0BqkZHRcA42ltU9,0.7,0.894,0,-3.675,0,0.0912,0.0085,4.95e-06,0.227,0.661,127.941,audio_features,1TSZgch0BqkZHRcA42ltU9,spotify:track:1TSZgch0BqkZHRcA42ltU9,https://api.spotify.com/v1/tracks/1TSZgch0BqkZHRcA42ltU9,https://api.spotify.com/v1/audio-analysis/1TSZgch0BqkZHRcA42ltU9,236265,4
Bomba ,7vIxvx25nU4T6tbtuk2RFw,0.918,0.914,8,-5.761,0,0.196,0.0933,0.0,0.0667,0.964,129.996,audio_features,7vIxvx25nU4T6tbtuk2RFw,spotify:track:7vIxvx25nU4T6tbtuk2RFw,https://api.spotify.com/v1/tracks/7vIxvx25nU4T6tbtuk2RFw,https://api.spotify.com/v1/audio-analysis/7vIxvx25nU4T6tbtuk2RFw,175600,4
Something About Us,1NeLwFETswx8Fzxl2AFl91,0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,audio_features,1NeLwFETswx8Fzxl2AFl91,spotify:track:1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/tracks/1NeLwFETswx8Fzxl2AFl91,https://api.spotify.com/v1/audio-analysis/1NeLwFETswx8Fzxl2AFl91,232667,4
Just Blow ,1LyJPjDgU1Qsa44eRPkN9x,0.806,0.973,1,-0.777,1,0.0687,0.0161,0.00738,0.169,0.786,130.006,audio_features,1LyJPjDgU1Qsa44eRPkN9x,spotify:track:1LyJPjDgU1Qsa44eRPkN9x,https://api.spotify.com/v1/tracks/1LyJPjDgU1Qsa44eRPkN9x,https://api.spotify.com/v1/audio-analysis/1LyJPjDgU1Qsa44eRPkN9x,221540,4
Beautiful Now ,2ISSQPb9LHHiV6ng2NXosL,0.628,0.832,11,-4.126,0,0.0282,0.0079,1.46e-05,0.074,0.56,128.003,audio_features,2ISSQPb9LHHiV6ng2NXosL,spotify:track:2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/tracks/2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/audio-analysis/2ISSQPb9LHHiV6ng2NXosL,218293,4
Louder ,2z63cZD5Qf0gn5oV63sucP,0.568,0.992,1,-2.687,1,0.273,0.000465,0.00827,0.213,0.0998,128.033,audio_features,2z63cZD5Qf0gn5oV63sucP,spotify:track:2z63cZD5Qf0gn5oV63sucP,https://api.spotify.com/v1/tracks/2z63cZD5Qf0gn5oV63sucP,https://api.spotify.com/v1/audio-analysis/2z63cZD5Qf0gn5oV63sucP,153784,4
Hot Air Balloon ,2dgxZM98rGyN2cI357Npeq,0.618,0.812,1,-5.753,1,0.0311,0.122,3.2e-06,0.164,0.705,100.0,audio_features,2dgxZM98rGyN2cI357Npeq,spotify:track:2dgxZM98rGyN2cI357Npeq,https://api.spotify.com/v1/tracks/2dgxZM98rGyN2cI357Npeq,https://api.spotify.com/v1/audio-analysis/2dgxZM98rGyN2cI357Npeq,213107,4
Angels ,3c7gJ60Be9YGuAEzD2Cdgp,0.527,0.845,1,-3.721,0,0.121,0.0335,0.000127,0.144,0.554,128.023,audio_features,3c7gJ60Be9YGuAEzD2Cdgp,spotify:track:3c7gJ60Be9YGuAEzD2Cdgp,https://api.spotify.com/v1/tracks/3c7gJ60Be9YGuAEzD2Cdgp,https://api.spotify.com/v1/audio-analysis/3c7gJ60Be9YGuAEzD2Cdgp,214326,4
Sugar ,5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,audio_features,5tf1VVWniHgryyumXyJM7w,spotify:track:5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/audio-analysis/5tf1VVWniHgryyumXyJM7w,219043,4
