title,artist,track_id,track_image,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Home,Michael Buble,3lyLqIn8mybyEFTs8JJaLf,https://cdnimg.melon.co.kr/cm/album/images/003/00/641/300641_500.jpg/melon/resize/120/quality/80/optimize,etc,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,audio_features,3lyLqIn8mybyEFTs8JJaLf,spotify:track:3lyLqIn8mybyEFTs8JJaLf,https://api.spotify.com/v1/tracks/3lyLqIn8mybyEFTs8JJaLf,https://api.spotify.com/v1/audio-analysis/3lyLqIn8mybyEFTs8JJaLf,225907,4
Nothing's Gonna Change My Love For You,George Benson,5bNGIne4TtZMcIIz6Kmsfl,https://cdnimg.melon.co.kr/cm/album/images/000/62/064/62064_500.jpg/melon/resize/120/quality/80/optimize,etc,0.554,0.614,1,-5.098,1,0.0306,0.764,0.0,0.0811,0.345,136.637,audio_features,5bNGIne4TtZMcIIz6Kmsfl,spotify:track:5bNGIne4TtZMcIIz6Kmsfl,https://api.spotify.com/v1/tracks/5bNGIne4TtZMcIIz6Kmsfl,https://api.spotify.com/v1/audio-analysis/5bNGIne4TtZMcIIz6Kmsfl,242679,4
"Quando, Quando, Quando ",Michael Buble,14qF2dnsVGh5lOvD7E6wSm,https://cdnimg.melon.co.kr/cm/album/images/003/00/641/300641_500.jpg/melon/resize/120/quality/80/optimize,etc,0.643,0.427,9,-9.196,1,0.0391,0.778,9.49e-05,0.136,0.577,116.042,audio_features,14qF2dnsVGh5lOvD7E6wSm,spotify:track:14qF2dnsVGh5lOvD7E6wSm,https://api.spotify.com/v1/tracks/14qF2dnsVGh5lOvD7E6wSm,https://api.spotify.com/v1/audio-analysis/14qF2dnsVGh5lOvD7E6wSm,284373,4
L - O - V - E,Olivia Ong,2IDtrNROPzOVjcFKglbosp,https://cdnimg.melon.co.kr/cm/album/images/003/34/471/334471_500.jpg/melon/resize/120/quality/80/optimize,etc,0.778,0.28,5,-9.378,1,0.0325,0.891,3.74e-05,0.0956,0.548,119.878,audio_features,2IDtrNROPzOVjcFKglbosp,spotify:track:2IDtrNROPzOVjcFKglbosp,https://api.spotify.com/v1/tracks/2IDtrNROPzOVjcFKglbosp,https://api.spotify.com/v1/audio-analysis/2IDtrNROPzOVjcFKglbosp,149893,4
I Wish You Love,Lisa Ono,2BJq3tZ0WKGtDtOCo0Dlzy,https://cdnimg.melon.co.kr/cm/album/images/000/22/162/22162_500.jpg/melon/resize/120/quality/80/optimize,etc,0.707,0.585,0,-7.253,1,0.0251,0.278,3.26e-05,0.0698,0.432,100.016,audio_features,2BJq3tZ0WKGtDtOCo0Dlzy,spotify:track:2BJq3tZ0WKGtDtOCo0Dlzy,https://api.spotify.com/v1/tracks/2BJq3tZ0WKGtDtOCo0Dlzy,https://api.spotify.com/v1/audio-analysis/2BJq3tZ0WKGtDtOCo0Dlzy,228467,4
Creep,Karen Souza,32SkNdTcuxvUGjtv0ObOgu,https://cdnimg.melon.co.kr/cm/album/images/022/41/840/2241840_500.jpg/melon/resize/120/quality/80/optimize,etc,0.69,0.235,0,-12.42,1,0.0305,0.704,0.000984,0.087,0.285,94.044,audio_features,32SkNdTcuxvUGjtv0ObOgu,spotify:track:32SkNdTcuxvUGjtv0ObOgu,https://api.spotify.com/v1/tracks/32SkNdTcuxvUGjtv0ObOgu,https://api.spotify.com/v1/audio-analysis/32SkNdTcuxvUGjtv0ObOgu,211307,4
4pm Cafe,170hz,1RWRGSsMorF1MYKp8zmlrd,https://cdnimg.melon.co.kr/cm/album/images/026/49/015/2649015_500.jpg/melon/resize/120/quality/80/optimize,etc,0.603,0.73,0,-4.794,1,0.0363,0.0353,0.862,0.11,0.277,88.0,audio_features,1RWRGSsMorF1MYKp8zmlrd,spotify:track:1RWRGSsMorF1MYKp8zmlrd,https://api.spotify.com/v1/tracks/1RWRGSsMorF1MYKp8zmlrd,https://api.spotify.com/v1/audio-analysis/1RWRGSsMorF1MYKp8zmlrd,145633,4
Shinjuku Twilight,Eddie Higgins Trio,5C5D3BrF6gUt1fKSzwZubB,https://cdnimg.melon.co.kr/cm/album/images/000/67/438/67438_500.jpg/melon/resize/120/quality/80/optimize,etc,0.38,0.499,0,-9.921,1,0.0268,0.901,0.902,0.126,0.334,96.081,audio_features,5C5D3BrF6gUt1fKSzwZubB,spotify:track:5C5D3BrF6gUt1fKSzwZubB,https://api.spotify.com/v1/tracks/5C5D3BrF6gUt1fKSzwZubB,https://api.spotify.com/v1/audio-analysis/5C5D3BrF6gUt1fKSzwZubB,288000,4
Feeling Good,Michael Buble,1AM8QdDFZMq6SrrqUnuQ9P,https://cdnimg.melon.co.kr/cm/album/images/003/00/641/300641_500.jpg/melon/resize/120/quality/80/optimize,etc,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,audio_features,1AM8QdDFZMq6SrrqUnuQ9P,spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,https://api.spotify.com/v1/tracks/1AM8QdDFZMq6SrrqUnuQ9P,https://api.spotify.com/v1/audio-analysis/1AM8QdDFZMq6SrrqUnuQ9P,237333,3
Soul Nights,Music Shower,4CrCHj6fdBpGxFHFnbB0kZ,https://cdnimg.melon.co.kr/cm/album/images/022/04/888/2204888_500.jpg/melon/resize/120/quality/80/optimize,etc,0.508,0.972,2,-4.693,1,0.0542,0.00291,0.589,0.134,0.675,170.027,audio_features,4CrCHj6fdBpGxFHFnbB0kZ,spotify:track:4CrCHj6fdBpGxFHFnbB0kZ,https://api.spotify.com/v1/tracks/4CrCHj6fdBpGxFHFnbB0kZ,https://api.spotify.com/v1/audio-analysis/4CrCHj6fdBpGxFHFnbB0kZ,185443,4
