title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Chopin : Etude No.3 In E Major Op.10-3 'Tristesse' ,클래식,69fOYJcOQy0493BHGN9uSk,https://cdnimg.melon.co.kr/cm/album/images/026/38/190/2638190_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.415,0.0922,4,-24.782,1,0.0394,0.989,0.925,0.0734,0.0869,68.101,audio_features,69fOYJcOQy0493BHGN9uSk,spotify:track:69fOYJcOQy0493BHGN9uSk,https://api.spotify.com/v1/tracks/69fOYJcOQy0493BHGN9uSk,https://api.spotify.com/v1/audio-analysis/69fOYJcOQy0493BHGN9uSk,266368,4
Satie : Gymnopedie No.1 - Lent Et Douloureux ,클래식,3mUQxsY9Nv8xpJdcRqMZUE,https://cdnimg.melon.co.kr/cm/album/images/026/38/190/2638190_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.484,0.00704,7,-29.18,1,0.0596,0.99,0.956,0.103,0.211,97.727,audio_features,3mUQxsY9Nv8xpJdcRqMZUE,spotify:track:3mUQxsY9Nv8xpJdcRqMZUE,https://api.spotify.com/v1/tracks/3mUQxsY9Nv8xpJdcRqMZUE,https://api.spotify.com/v1/audio-analysis/3mUQxsY9Nv8xpJdcRqMZUE,150629,3
Schumann : Kinderszenen Op.15 - VII. Traumerei ,클래식,3udOcEqTM4d243qb4oWsMd,https://cdnimg.melon.co.kr/cm/album/images/026/38/190/2638190_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.423,0.0268,5,-24.759,1,0.0623,0.995,0.933,0.0837,0.469,70.91,audio_features,3udOcEqTM4d243qb4oWsMd,spotify:track:3udOcEqTM4d243qb4oWsMd,https://api.spotify.com/v1/tracks/3udOcEqTM4d243qb4oWsMd,https://api.spotify.com/v1/audio-analysis/3udOcEqTM4d243qb4oWsMd,149084,5
Schumann : Fantasiestucke Op.12 - I. Des Abends ,클래식,79F4t48N0h5HHfkuoK73TH,https://cdnimg.melon.co.kr/cm/album/images/026/38/190/2638190_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.437,0.0409,1,-27.495,1,0.0386,0.994,0.906,0.097,0.0936,100.974,audio_features,79F4t48N0h5HHfkuoK73TH,spotify:track:79F4t48N0h5HHfkuoK73TH,https://api.spotify.com/v1/tracks/79F4t48N0h5HHfkuoK73TH,https://api.spotify.com/v1/audio-analysis/79F4t48N0h5HHfkuoK73TH,211904,3
Saint-Saens : La Carnaval Des Animaux - XIII. Le Cygne ,클래식,5vmVMlVoxhuca3kubo0RyQ,https://cdnimg.melon.co.kr/cm/album/images/023/37/327/2337327_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.383,0.0145,7,-26.831,1,0.0392,0.976,0.862,0.107,0.143,87.771,audio_features,5vmVMlVoxhuca3kubo0RyQ,spotify:track:5vmVMlVoxhuca3kubo0RyQ,https://api.spotify.com/v1/tracks/5vmVMlVoxhuca3kubo0RyQ,https://api.spotify.com/v1/audio-analysis/5vmVMlVoxhuca3kubo0RyQ,128857,3
Debussy : Preludes Book I. L.117 - VIII. La Fille Aux Cheveux De Lin ,클래식,11t0kNf1zg2QvwfuGUpBEf,https://cdnimg.melon.co.kr/cm/album/images/026/38/190/2638190_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.454,0.00761,6,-28.018,1,0.071,0.989,0.923,0.0586,0.0589,136.668,audio_features,11t0kNf1zg2QvwfuGUpBEf,spotify:track:11t0kNf1zg2QvwfuGUpBEf,https://api.spotify.com/v1/tracks/11t0kNf1zg2QvwfuGUpBEf,https://api.spotify.com/v1/audio-analysis/11t0kNf1zg2QvwfuGUpBEf,176683,1
Grieg : Peer Gynt Suite No.1 Op.46 - I. Morning Mood ,클래식,4V81WW08Q5s8OfiUnK9M0h,https://cdnimg.melon.co.kr/cm/album/images/023/37/327/2337327_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.609,0.0906,4,-22.638,1,0.043,0.991,0.906,0.105,0.061,127.999,audio_features,4V81WW08Q5s8OfiUnK9M0h,spotify:track:4V81WW08Q5s8OfiUnK9M0h,https://api.spotify.com/v1/tracks/4V81WW08Q5s8OfiUnK9M0h,https://api.spotify.com/v1/audio-analysis/4V81WW08Q5s8OfiUnK9M0h,245131,3
Elgar : Salut D'amour In E Major Op.12 ,클래식,2xva2p8QNkY67m4TgtxUef,https://cdnimg.melon.co.kr/cm/album/images/023/37/327/2337327_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.47,0.129,2,-24.637,1,0.033,0.98,0.864,0.708,0.268,82.352,audio_features,2xva2p8QNkY67m4TgtxUef,spotify:track:2xva2p8QNkY67m4TgtxUef,https://api.spotify.com/v1/tracks/2xva2p8QNkY67m4TgtxUef,https://api.spotify.com/v1/audio-analysis/2xva2p8QNkY67m4TgtxUef,163585,4
Mozart : Piano Sonata No.16 In C Major K.545 - II. Andante ,클래식,3BrVH3EyptMQZSGMZHD8YP,photo/logo.png,etc,클래식,0.417,0.061,7,-26.028,1,0.0437,0.993,0.908,0.109,0.342,124.336,audio_features,3BrVH3EyptMQZSGMZHD8YP,spotify:track:3BrVH3EyptMQZSGMZHD8YP,https://api.spotify.com/v1/tracks/3BrVH3EyptMQZSGMZHD8YP,https://api.spotify.com/v1/audio-analysis/3BrVH3EyptMQZSGMZHD8YP,239477,3
Beethoven : Piano Sonata No.8 In C Minor Op.13 'Pathetique' - III. Rondo. Allegro ,클래식,1a4x0DM0jacdWb0q52HqwB,https://cdnimg.melon.co.kr/cm/album/images/026/47/919/2647919_500.jpg/melon/resize/120/quality/80/optimize,etc,클래식,0.478,0.172,0,-23.531,0,0.0394,0.974,0.93,0.13,0.505,160.047,audio_features,1a4x0DM0jacdWb0q52HqwB,spotify:track:1a4x0DM0jacdWb0q52HqwB,https://api.spotify.com/v1/tracks/1a4x0DM0jacdWb0q52HqwB,https://api.spotify.com/v1/audio-analysis/1a4x0DM0jacdWb0q52HqwB,319504,4
