title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
초혼,장윤정,6eJBDAZcQDVvxkxqulNY4V,https://cdnimg.melon.co.kr/cm/album/images/009/16/260/916260_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.444,0.451,1,-5.687,1,0.0277,0.723,0.00126,0.149,0.23,71.984,audio_features,6eJBDAZcQDVvxkxqulNY4V,spotify:track:6eJBDAZcQDVvxkxqulNY4V,https://api.spotify.com/v1/tracks/6eJBDAZcQDVvxkxqulNY4V,https://api.spotify.com/v1/audio-analysis/6eJBDAZcQDVvxkxqulNY4V,227683,4
사랑아,장윤정,74Oxb3kI4FNhgYXcsrz3iC,https://cdnimg.melon.co.kr/cm/album/images/003/02/749/302749_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.707,0.759,8,-7.089,1,0.0439,4.43e-05,0.18,0.31,0.71,139.956,audio_features,74Oxb3kI4FNhgYXcsrz3iC,spotify:track:74Oxb3kI4FNhgYXcsrz3iC,https://api.spotify.com/v1/tracks/74Oxb3kI4FNhgYXcsrz3iC,https://api.spotify.com/v1/audio-analysis/74Oxb3kI4FNhgYXcsrz3iC,221144,4
안동역에서,진성,2REiV8Cx6JsVkMFiTUP4on,https://cdnimg.melon.co.kr/cm/album/images/021/49/029/2149029_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.547,0.803,1,-3.439,0,0.0325,0.392,1.86e-06,0.334,0.638,134.787,audio_features,2REiV8Cx6JsVkMFiTUP4on,spotify:track:2REiV8Cx6JsVkMFiTUP4on,https://api.spotify.com/v1/tracks/2REiV8Cx6JsVkMFiTUP4on,https://api.spotify.com/v1/audio-analysis/2REiV8Cx6JsVkMFiTUP4on,227480,4
보릿고개,진성,2RYQrS3fDdnincR9K6mNgp,https://cdnimg.melon.co.kr/cm/album/images/023/21/181/2321181_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.586,0.849,9,-3.642,0,0.0438,0.668,0.0,0.192,0.654,138.697,audio_features,2RYQrS3fDdnincR9K6mNgp,spotify:track:2RYQrS3fDdnincR9K6mNgp,https://api.spotify.com/v1/tracks/2RYQrS3fDdnincR9K6mNgp,https://api.spotify.com/v1/audio-analysis/2RYQrS3fDdnincR9K6mNgp,209107,4
태클을 걸지마,진성,2ZE58r2vseLLeSr152ce7s,https://cdnimg.melon.co.kr/cm/album/images/003/13/232/313232_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.718,0.92,8,-3.732,1,0.0513,0.27,3.75e-06,0.175,0.779,154.416,audio_features,2ZE58r2vseLLeSr152ce7s,spotify:track:2ZE58r2vseLLeSr152ce7s,https://api.spotify.com/v1/tracks/2ZE58r2vseLLeSr152ce7s,https://api.spotify.com/v1/audio-analysis/2ZE58r2vseLLeSr152ce7s,164773,4
미운 사랑,진미령,2kmI3bYhY8KzjVt6To51Jy,https://cdnimg.melon.co.kr/cm/album/images/021/67/949/2167949_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.518,0.46,1,-5.186,0,0.0264,0.245,9.42e-06,0.185,0.302,140.087,audio_features,2kmI3bYhY8KzjVt6To51Jy,spotify:track:2kmI3bYhY8KzjVt6To51Jy,https://api.spotify.com/v1/tracks/2kmI3bYhY8KzjVt6To51Jy,https://api.spotify.com/v1/audio-analysis/2kmI3bYhY8KzjVt6To51Jy,228160,4
시계바늘,신유,7wFblOQueJP7mt9Ikw1R2U,https://cdnimg.melon.co.kr/cm/album/images/003/99/083/399083_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.585,0.86,5,-3.787,1,0.0384,0.129,0.0,0.307,0.797,133.992,audio_features,7wFblOQueJP7mt9Ikw1R2U,spotify:track:7wFblOQueJP7mt9Ikw1R2U,https://api.spotify.com/v1/tracks/7wFblOQueJP7mt9Ikw1R2U,https://api.spotify.com/v1/audio-analysis/7wFblOQueJP7mt9Ikw1R2U,180247,4
천태만상,윤수현,1ncoN4v68gwqFg0x5O6p6B,https://cdnimg.melon.co.kr/cm/album/images/022/38/221/2238221_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.731,0.938,10,-2.545,0,0.0739,0.17,0.0,0.264,0.777,138.081,audio_features,1ncoN4v68gwqFg0x5O6p6B,spotify:track:1ncoN4v68gwqFg0x5O6p6B,https://api.spotify.com/v1/tracks/1ncoN4v68gwqFg0x5O6p6B,https://api.spotify.com/v1/audio-analysis/1ncoN4v68gwqFg0x5O6p6B,218160,4
짠짜라,장윤정,05nyd9ZLlmsVlk9BF4pZCm,https://cdnimg.melon.co.kr/cm/album/images/003/02/749/302749_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.765,0.533,1,-9.223,1,0.0653,0.622,0.0,0.179,0.855,123.888,audio_features,05nyd9ZLlmsVlk9BF4pZCm,spotify:track:05nyd9ZLlmsVlk9BF4pZCm,https://api.spotify.com/v1/tracks/05nyd9ZLlmsVlk9BF4pZCm,https://api.spotify.com/v1/audio-analysis/05nyd9ZLlmsVlk9BF4pZCm,168846,4
단발머리,조용필,6eh1BRnPzenIPPVBWB6SnN,https://cdnimg.melon.co.kr/cm/album/images/000/04/828/4828_500.jpg/melon/resize/120/quality/80/optimize,Domestic,트로트,0.641,0.896,6,-7.667,1,0.0368,0.021,0.011,0.386,0.712,103.997,audio_features,6eh1BRnPzenIPPVBWB6SnN,spotify:track:6eh1BRnPzenIPPVBWB6SnN,https://api.spotify.com/v1/tracks/6eh1BRnPzenIPPVBWB6SnN,https://api.spotify.com/v1/audio-analysis/6eh1BRnPzenIPPVBWB6SnN,272000,4
