title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sugar,5d6Mjuu2uCGRPYpFjGpCX5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,audio_features,5d6Mjuu2uCGRPYpFjGpCX5,spotify:track:5d6Mjuu2uCGRPYpFjGpCX5,https://api.spotify.com/v1/tracks/5d6Mjuu2uCGRPYpFjGpCX5,https://api.spotify.com/v1/audio-analysis/5d6Mjuu2uCGRPYpFjGpCX5,235493,4
Thinking Out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4
Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4
Everglow,5qfZRNjt2TkHEL12r3sDEU,0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,audio_features,5qfZRNjt2TkHEL12r3sDEU,spotify:track:5qfZRNjt2TkHEL12r3sDEU,https://api.spotify.com/v1/tracks/5qfZRNjt2TkHEL12r3sDEU,https://api.spotify.com/v1/audio-analysis/5qfZRNjt2TkHEL12r3sDEU,282693,4
Lucky ,0IktbUcnAGrvD03AWnz3Q8,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,audio_features,0IktbUcnAGrvD03AWnz3Q8,spotify:track:0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,https://api.spotify.com/v1/audio-analysis/0IktbUcnAGrvD03AWnz3Q8,189613,4
Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
Maps,7oUHzZKNKUTrlU7DYxhQ7v,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,audio_features,7oUHzZKNKUTrlU7DYxhQ7v,spotify:track:7oUHzZKNKUTrlU7DYxhQ7v,https://api.spotify.com/v1/tracks/7oUHzZKNKUTrlU7DYxhQ7v,https://api.spotify.com/v1/audio-analysis/7oUHzZKNKUTrlU7DYxhQ7v,189960,4
Englishman In New York,4KFM3A5QF2IMcc6nHsu3Wp,0.674,0.347,9,-17.707,1,0.0364,0.396,1.04e-05,0.0916,0.647,102.014,audio_features,4KFM3A5QF2IMcc6nHsu3Wp,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,https://api.spotify.com/v1/tracks/4KFM3A5QF2IMcc6nHsu3Wp,https://api.spotify.com/v1/audio-analysis/4KFM3A5QF2IMcc6nHsu3Wp,267267,4
Piano Man,70C4NyhjD5OZUMzvWZ3njJ,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,audio_features,70C4NyhjD5OZUMzvWZ3njJ,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/audio-analysis/70C4NyhjD5OZUMzvWZ3njJ,339000,3
No One Else Like You,6CdV33i2ztlvFheXGz4Huc,0.625,0.815,11,-3.904,0,0.0325,0.0265,0.0,0.29,0.485,115.95,audio_features,6CdV33i2ztlvFheXGz4Huc,spotify:track:6CdV33i2ztlvFheXGz4Huc,https://api.spotify.com/v1/tracks/6CdV33i2ztlvFheXGz4Huc,https://api.spotify.com/v1/audio-analysis/6CdV33i2ztlvFheXGz4Huc,208427,4
The Scientist,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,audio_features,00Mb3DuaIH1kjrwOku9CGU,spotify:track:00Mb3DuaIH1kjrwOku9CGU,https://api.spotify.com/v1/tracks/00Mb3DuaIH1kjrwOku9CGU,https://api.spotify.com/v1/audio-analysis/00Mb3DuaIH1kjrwOku9CGU,204000,4
This Love,6ECp64rv50XVz93WvxXMGF,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,audio_features,6ECp64rv50XVz93WvxXMGF,spotify:track:6ECp64rv50XVz93WvxXMGF,https://api.spotify.com/v1/tracks/6ECp64rv50XVz93WvxXMGF,https://api.spotify.com/v1/audio-analysis/6ECp64rv50XVz93WvxXMGF,206200,4
The Great Escape,6GIrIt2M39wEGwjCQjGChX,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934,audio_features,6GIrIt2M39wEGwjCQjGChX,spotify:track:6GIrIt2M39wEGwjCQjGChX,https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX,https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX,206520,4
Tell Me If You Wanna Go Home,0nrXQ2iKJFnPQYXZHKky9u,0.596,0.852,10,-5.544,1,0.0442,0.246,0.0,0.0743,0.412,143.079,audio_features,0nrXQ2iKJFnPQYXZHKky9u,spotify:track:0nrXQ2iKJFnPQYXZHKky9u,https://api.spotify.com/v1/tracks/0nrXQ2iKJFnPQYXZHKky9u,https://api.spotify.com/v1/audio-analysis/0nrXQ2iKJFnPQYXZHKky9u,219587,4
Take On Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
The Phoenix,7jwDuO7UZvWs77KNj9HbvF,0.561,0.964,4,-2.993,0,0.0719,0.000557,1.46e-06,0.579,0.411,138.064,audio_features,7jwDuO7UZvWs77KNj9HbvF,spotify:track:7jwDuO7UZvWs77KNj9HbvF,https://api.spotify.com/v1/tracks/7jwDuO7UZvWs77KNj9HbvF,https://api.spotify.com/v1/audio-analysis/7jwDuO7UZvWs77KNj9HbvF,244960,4
A Step You Can’t Take Back,6LLUiWmVoiPm27QNzBNc3j,0.631,0.412,5,-7.253,1,0.0257,0.434,6.49e-06,0.11,0.315,82.043,audio_features,6LLUiWmVoiPm27QNzBNc3j,spotify:track:6LLUiWmVoiPm27QNzBNc3j,https://api.spotify.com/v1/tracks/6LLUiWmVoiPm27QNzBNc3j,https://api.spotify.com/v1/audio-analysis/6LLUiWmVoiPm27QNzBNc3j,201987,4
Champagne Supernova,1wo3UYTeizJHkwYIuLuBPF,0.297,0.825,2,-3.771,1,0.0394,0.464,0.0833,0.354,0.123,150.339,audio_features,1wo3UYTeizJHkwYIuLuBPF,spotify:track:1wo3UYTeizJHkwYIuLuBPF,https://api.spotify.com/v1/tracks/1wo3UYTeizJHkwYIuLuBPF,https://api.spotify.com/v1/audio-analysis/1wo3UYTeizJHkwYIuLuBPF,451320,4
Gravity,3SktMqZmo3M9zbB7oKMIF7,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,audio_features,3SktMqZmo3M9zbB7oKMIF7,spotify:track:3SktMqZmo3M9zbB7oKMIF7,https://api.spotify.com/v1/tracks/3SktMqZmo3M9zbB7oKMIF7,https://api.spotify.com/v1/audio-analysis/3SktMqZmo3M9zbB7oKMIF7,245827,3
What's Up?,6ZGd4ygnoSk8VDvLUWiuU9,0.563,0.67,11,-7.686,0,0.0287,0.0558,0.0,0.0979,0.366,134.325,audio_features,6ZGd4ygnoSk8VDvLUWiuU9,spotify:track:6ZGd4ygnoSk8VDvLUWiuU9,https://api.spotify.com/v1/tracks/6ZGd4ygnoSk8VDvLUWiuU9,https://api.spotify.com/v1/audio-analysis/6ZGd4ygnoSk8VDvLUWiuU9,253947,4
Geek In The Pink,2MMRWb4gn8mwpK5RLlPtl5,0.665,0.749,10,-4.43,0,0.0776,0.374,0.0,0.0375,0.897,91.822,audio_features,2MMRWb4gn8mwpK5RLlPtl5,spotify:track:2MMRWb4gn8mwpK5RLlPtl5,https://api.spotify.com/v1/tracks/2MMRWb4gn8mwpK5RLlPtl5,https://api.spotify.com/v1/audio-analysis/2MMRWb4gn8mwpK5RLlPtl5,235507,4
