title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
See You Again,"Charlie Puth, Wiz Khalifa",2JzZzZUQj3Qff7wapcbKjc,https://cdnimg.melon.co.kr/cm/album/images/023/09/376/2309376_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,2JzZzZUQj3Qff7wapcbKjc,spotify:track:2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,229526,4
Empire State Of Mind ,JAY-Z,2igwFfvr1OAGX9SKDCPBwO,https://cdnimg.melon.co.kr/cm/album/images/006/60/651/660651_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,audio_features,2igwFfvr1OAGX9SKDCPBwO,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920,4
Without Me,Eminem,7lQ8MOhq6IN2w8EYcFNSUk,https://cdnimg.melon.co.kr/cm/album/images/000/24/633/24633_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
The Monster ,Eminem,48RrDBpOSSl1aLVCalGl5C,https://cdnimg.melon.co.kr/cm/album/images/022/14/433/2214433_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.781,0.853,1,-3.68,0,0.0714,0.0526,0.0,0.12,0.626,110.046,audio_features,48RrDBpOSSl1aLVCalGl5C,spotify:track:48RrDBpOSSl1aLVCalGl5C,https://api.spotify.com/v1/tracks/48RrDBpOSSl1aLVCalGl5C,https://api.spotify.com/v1/audio-analysis/48RrDBpOSSl1aLVCalGl5C,250189,4
Rumors,Jake Miller,6llBOJ6HLHvlVnKeZqhXk8,https://cdnimg.melon.co.kr/cm/album/images/023/28/446/2328446_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.883,0.712,1,-4.769,0,0.0465,0.134,0.0,0.106,0.825,120.022,audio_features,6llBOJ6HLHvlVnKeZqhXk8,spotify:track:6llBOJ6HLHvlVnKeZqhXk8,https://api.spotify.com/v1/tracks/6llBOJ6HLHvlVnKeZqhXk8,https://api.spotify.com/v1/audio-analysis/6llBOJ6HLHvlVnKeZqhXk8,186103,4
Doctor Pepper,"Diplo, CL, Riff Raff, OG Maco",5Djg43OzL7HVYgG0CwJKwI,https://cdnimg.melon.co.kr/cm/album/images/023/20/975/2320975_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.872,0.659,7,-6.142,1,0.34,0.014,0.00701,0.414,0.218,140.086,audio_features,5Djg43OzL7HVYgG0CwJKwI,spotify:track:5Djg43OzL7HVYgG0CwJKwI,https://api.spotify.com/v1/tracks/5Djg43OzL7HVYgG0CwJKwI,https://api.spotify.com/v1/audio-analysis/5Djg43OzL7HVYgG0CwJKwI,226286,4
Stan ,Eminem,3UmaczJpikHgJFyBTAJVoz,https://cdnimg.melon.co.kr/cm/album/images/000/22/012/22012_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,audio_features,3UmaczJpikHgJFyBTAJVoz,spotify:track:3UmaczJpikHgJFyBTAJVoz,https://api.spotify.com/v1/tracks/3UmaczJpikHgJFyBTAJVoz,https://api.spotify.com/v1/audio-analysis/3UmaczJpikHgJFyBTAJVoz,404107,4
Low ,Flo Rida,0CAfXk7DXMnon4gLudAp7J,https://cdnimg.melon.co.kr/cm/album/images/003/75/557/375557_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4
"I Don't Like It, I Love It ",Flo Rida,2S5LNtRVRPbXk01yRQ14sZ,https://cdnimg.melon.co.kr/cm/album/images/023/12/812/2312812_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.854,0.766,9,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004,audio_features,2S5LNtRVRPbXk01yRQ14sZ,spotify:track:2S5LNtRVRPbXk01yRQ14sZ,https://api.spotify.com/v1/tracks/2S5LNtRVRPbXk01yRQ14sZ,https://api.spotify.com/v1/audio-analysis/2S5LNtRVRPbXk01yRQ14sZ,224258,4
Black Skinhead ,Kanye West,722tgOgdIbNe3BEyLnejw4,https://cdnimg.melon.co.kr/cm/album/images/021/89/313/2189313_500.jpg/melon/resize/120/quality/80/optimize,Oversea,해외 밴드,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127,audio_features,722tgOgdIbNe3BEyLnejw4,spotify:track:722tgOgdIbNe3BEyLnejw4,https://api.spotify.com/v1/tracks/722tgOgdIbNe3BEyLnejw4,https://api.spotify.com/v1/audio-analysis/722tgOgdIbNe3BEyLnejw4,188013,4
