title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
You've Got a Friend in Me ,6z9SwcxnQkuFikXQ6SBSQB,0.691,0.425,3,-8.436,1,0.0287,0.805,1.89e-06,0.16,0.495,115.966,audio_features,6z9SwcxnQkuFikXQ6SBSQB,spotify:track:6z9SwcxnQkuFikXQ6SBSQB,https://api.spotify.com/v1/tracks/6z9SwcxnQkuFikXQ6SBSQB,https://api.spotify.com/v1/audio-analysis/6z9SwcxnQkuFikXQ6SBSQB,124093,4
The Blower's Daughter,7tdXvaCZmWZJOrZE9zFXpr,0.334,0.192,4,-13.983,1,0.0337,0.135,9.77e-05,0.427,0.0775,133.198,audio_features,7tdXvaCZmWZJOrZE9zFXpr,spotify:track:7tdXvaCZmWZJOrZE9zFXpr,https://api.spotify.com/v1/tracks/7tdXvaCZmWZJOrZE9zFXpr,https://api.spotify.com/v1/audio-analysis/7tdXvaCZmWZJOrZE9zFXpr,288467,4
New York City,7xef558Mgt1nNJ1KlJNZoY,0.701,0.481,7,-8.666,1,0.0258,0.144,0.00442,0.124,0.391,89.234,audio_features,7xef558Mgt1nNJ1KlJNZoY,spotify:track:7xef558Mgt1nNJ1KlJNZoY,https://api.spotify.com/v1/tracks/7xef558Mgt1nNJ1KlJNZoY,https://api.spotify.com/v1/audio-analysis/7xef558Mgt1nNJ1KlJNZoY,305560,4
Cayman Islands,6R8agdKCfA4Poo0vnRKQKo,0.413,0.343,1,-10.552,1,0.0355,0.813,0.336,0.108,0.454,174.594,audio_features,6R8agdKCfA4Poo0vnRKQKo,spotify:track:6R8agdKCfA4Poo0vnRKQKo,https://api.spotify.com/v1/tracks/6R8agdKCfA4Poo0vnRKQKo,https://api.spotify.com/v1/audio-analysis/6R8agdKCfA4Poo0vnRKQKo,182960,4
Mrs. Cold,3iQH0cryu5TRe2GMhF9ZFZ,0.772,0.366,3,-13.458,1,0.0534,0.86,0.0699,0.111,0.677,96.577,audio_features,3iQH0cryu5TRe2GMhF9ZFZ,spotify:track:3iQH0cryu5TRe2GMhF9ZFZ,https://api.spotify.com/v1/tracks/3iQH0cryu5TRe2GMhF9ZFZ,https://api.spotify.com/v1/audio-analysis/3iQH0cryu5TRe2GMhF9ZFZ,186467,4
9 Crimes,5GZEeowhvSieFDiR8fQ2im,0.346,0.139,0,-15.326,1,0.0321,0.913,7.73e-05,0.0934,0.116,136.168,audio_features,5GZEeowhvSieFDiR8fQ2im,spotify:track:5GZEeowhvSieFDiR8fQ2im,https://api.spotify.com/v1/tracks/5GZEeowhvSieFDiR8fQ2im,https://api.spotify.com/v1/audio-analysis/5GZEeowhvSieFDiR8fQ2im,217947,4
Le Festin,02JIdsrod3BYucThfUFDUX,0.439,0.303,3,-10.839,1,0.0422,0.839,0.0,0.071,0.268,139.475,audio_features,02JIdsrod3BYucThfUFDUX,spotify:track:02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/tracks/02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/audio-analysis/02JIdsrod3BYucThfUFDUX,170787,3
The A Team,1VdZ0vKfR5jneCmWIUAMxK,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,audio_features,1VdZ0vKfR5jneCmWIUAMxK,spotify:track:1VdZ0vKfR5jneCmWIUAMxK,https://api.spotify.com/v1/tracks/1VdZ0vKfR5jneCmWIUAMxK,https://api.spotify.com/v1/audio-analysis/1VdZ0vKfR5jneCmWIUAMxK,258373,4
Wonderful Tonight,6zC0mpGYwbNTpk9SKwh08f,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,audio_features,6zC0mpGYwbNTpk9SKwh08f,spotify:track:6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/tracks/6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/audio-analysis/6zC0mpGYwbNTpk9SKwh08f,225027,4
Delicate,6MY1xABxoZATrEr4FeUhEM,0.34,0.144,5,-14.502,1,0.0419,0.684,0.00112,0.101,0.147,81.179,audio_features,6MY1xABxoZATrEr4FeUhEM,spotify:track:6MY1xABxoZATrEr4FeUhEM,https://api.spotify.com/v1/tracks/6MY1xABxoZATrEr4FeUhEM,https://api.spotify.com/v1/audio-analysis/6MY1xABxoZATrEr4FeUhEM,312067,4
