지자체,관리청,해수욕장명,길이(m),너비(m),lat,lng
강원도,강릉시,강문,360,45,37.7948358,128.9193758
강원도,강릉시,경포대,1800,70,37.8054863,128.9078306
강원도,강릉시,금진,850,44,37.6364817,129.0449615
강원도,강릉시, 남항진 ,350,47,37.7644922,128.9544384
강원도,강릉시, 도직 ,330,56,37.6095133,129.0682379
강원도,강릉시, 등명 ,490,54,37.7045007,129.0164343
강원도,강릉시,사근진,830,28,37.8124614,128.899392
강원도,강릉시,사천,270,45,37.8280556,128.8802778
강원도,강릉시,사천진,760,51,37.8420255,128.8744997
강원도,강릉시,송정,270,46,35.1786125,129.1997133
강원도,강릉시,순긋,400,36,37.8172345,128.8931927
강원도,강릉시,안목,300,56,37.7731576,128.9472722
강원도,강릉시, 안인 ,150,30,37.7346076,128.9901304
강원도,강릉시,연곡,750,43,37.8584845,128.8548181
강원도,강릉시, 염전 ,330,63,37.7419677,128.9842141
강원도,강릉시,영진,450,38,37.86010611,128.8369415
강원도,강릉시,옥계,530,140,37.6281217,129.0494335
강원도,강릉시,정동진,1660,50,37.6904194,129.0348774
강원도,강릉시,주문진해변,1369,59,37.911055,128.819197
강원도,강릉시,하평,340,36,37.8459528,128.8700829
강원도,고성군,가진진,345,69,38.3727425,128.5093793
강원도,고성군,공현진1리,300,120,38.35727077,128.4981875
강원도,고성군,공현진2리,405,44,38.35727077,128.4981875
강원도,고성군,교암리,507,45,38.29105879,128.5469615
강원도,고성군,대진1리,416,28,38.52150448,128.3911996
강원도,고성군,대진5리,109,18,38.49900992,128.4194233
강원도,고성군,마차진,246,25,38.5119083,128.4188937
강원도,고성군,명파리,196,31,38.5438691,128.405714
강원도,고성군,반암리,438,100,38.4228187,128.4627712
강원도,고성군,백도,450,68,38.3012519,128.5463224
강원도,고성군,봉수대,598,17,38.3243598,128.5269624
강원도,고성군,봉포리,465,77,38.2528138,128.5661831
강원도,고성군,삼포,497,48,38.3164443,128.5336009
강원도,고성군,삼포2리,540,64,38.3210135,128.52692
강원도,고성군,송지호,165,88,38.3325255,128.5276565
강원도,고성군,송지호오토캠핑장,296,30,38.34277822,128.51316
강원도,고성군,아야진리,315,74,38.2727272,128.5562668
강원도,고성군,자작도,380,55,38.3087232,128.5427114
강원도,고성군,천진리,292,34,38.259385,128.5598301
강원도,고성군,청간리,795,26,38.268284,128.5565446
강원도,고성군,초도리,363,58,38.4907264,128.4303555
강원도,고성군,화진포,641,141,38.4788947,128.4387162
강원도,고성군,화진포 콘도,200,60,38.4746025,128.4400362
강원도,동해시,노봉,390,100,37.586167,129.10167
강원도,동해시, 대진 ,230,65,36.5647297,129.4268466
강원도,동해시,망상,1160,125,37.5922384,129.0896615
강원도,동해시,망상리조트,720,40,37.598227,129.0807874
강원도,동해시,어달,300,20,37.566904,129.1191575
강원도,동해시,추암,360,50,37.4778408,129.15952
강원도,삼척시, 궁촌 ,400,40,37.3244684,129.2679219
강원도,삼척시, 덕산 ,500,50,37.3854328,129.2425336
강원도,삼척시,맹방,740,80,37.3892932,129.2341176
강원도,삼척시,문암,300,30,38.2966414,128.5493778
강원도,삼척시, 부남 ,200,30,37.3618247,129.2512835
강원도,삼척시,삼척,880,93,37.4440736,129.1679254
강원도,삼척시, 상맹방 ,200,40,37.4036799,129.2110083
강원도,삼척시,오분(간이),200,20,37.4246715,129.1924542
강원도,삼척시,용화,500,50,37.2904732,129.3033363
강원도,삼척시,원평,300,30,37.3199175,129.2720103
강원도,삼척시, 임원 ,150,15,37.2270372,129.3415568
강원도,삼척시,작은후진,150,20,37.4643108,129.1754543
강원도,삼척시, 장호 ,300,40,37.2858629,129.3144187
강원도,삼척시, 증산  ,200,40,37.4746426,129.1617053
강원도,삼척시,하맹방,400,50,37.3942091,129.2253961
강원도,삼척시, 한재밑 ,400,40,37.4085403,129.205092
강원도,속초시,등대,550,22,38.2171193,128.5952899
강원도,속초시,속초,940,43,38.1905823,128.603541
강원도,속초시,외옹치,205,53,38.1835177,128.6089142
강원도,양양군,갯마을,310,30,37.9491895,128.7786729
강원도,양양군,광진,573,45,37.9647418,128.7650894
강원도,양양군,기사문,148,100,38.0057917,128.7314803
강원도,양양군,낙산,1833,76,38.1179988,128.6335693
강원도,양양군,남애1,396,30,37.94552906,128.7862638
강원도,양양군,남애3,504,77,37.9451082,128.7858298
강원도,양양군,동산,374,30,37.9821728,128.7566032
강원도,양양군,동산포,290,50,37.9820173,128.7569785
강원도,양양군,동호,406,40,38.0586454,128.6830111
강원도,양양군,물치,237,70,38.1534379,128.6082932
강원도,양양군,북분,351,50,37.97126874,128.7519001
강원도,양양군,설악,447,76,38.1302744,128.6231258
강원도,양양군,송전,537,60,38.0929484,128.6588947
강원도,양양군,원포,288,50,37.9314131,128.7920878
강원도,양양군,인구,262,68,37.9693246,128.7627562
강원도,양양군,잔교,317,30,37.9933274,128.7419595
강원도,양양군,정암,360,40,38.1390232,128.6157929
강원도,양양군,죽도,411,20,37.975,128.7594444
강원도,양양군,중광정,310,40,38.02862362,128.7067641
강원도,양양군, 지  경 ,506,50,37.9241919,128.8006428
강원도,양양군,하조대,540,70,38.0243746,128.723294
경상남도,거제시,구영,178,22,35.0316483,128.6899038
경상남도,거제시,구조라,851,25,34.8088119,128.6905514
경상남도,거제시,농소,806,44,35.0051794,128.7014867
경상남도,거제시,덕원,277,27,34.7790371,128.5758934
경상남도,거제시,덕포,446,22,34.9122336,128.7117377
경상남도,거제시,망치,493,18,34.8127588,128.6677919
경상남도,거제시,명사,301,34,34.7265993,128.6036422
경상남도,거제시,물안,164,30,34.99600038,128.645111
경상남도,거제시,사곡,221,58,34.89880961,128.57215
경상남도,거제시,여차,163,34,34.72999321,128.6177776
경상남도,거제시,옥계,115,10,37.6280673,129.0493416
경상남도,거제시,와현모래숲,382,51,34.8134728,128.7078435
경상남도,거제시,죽림,125,62,34.8375582,128.5863075
경상남도,거제시,학동흑진주몽돌,1022,44,35.1366458,126.9314971
경상남도,거제시,함목,190,52,34.7398487,128.6521929
경상남도,거제시,황포,213,20,35.02496073,128.6942658
경상남도,거제시,흥남,332,34,34.9600461,128.71507
경상남도,남해군,두곡월포,850,30,34.76833209,127.907595
경상남도,남해군,사촌,450,20,34.7415566,127.8562949
경상남도,남해군,상주은모래비치,770,150,34.7207835,127.9880887
경상남도,남해군,설리,320,43,34.7064108,128.0261005
