title,artist,track_image,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Better When I'm Dancin',Meghan Trainor,https://cdnimg.melon.co.kr/cm/album/images/026/54/418/2654418_500.jpg/melon/resize/120/quality/80/optimize,5k5fWendNngd89O8JKoE8L,0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,0.873,127.987,OST
Without You,원타임,https://cdnimg.melon.co.kr/cm/album/images/000/33/232/33232_500.jpg/melon/resize/120/quality/80/optimize,3bSLU0vJe54wU55zIPbl5F,0.786,0.644,-5.897,0.04,0.522,0.0,0.131,0.763,134.002,국내 랩힙합
her,백승환,https://cdnimg.melon.co.kr/cm2/album/images/115/27/377/11527377_20240702103219_500.jpg/melon/resize/120/quality/80/optimize,1iAyqkFF3IMg3mLWY8H5bg,0.832,0.403,-7.11,0.0665,0.588,0.0,0.176,0.524,119.913,국내 포크블루스
Out Loud,"Raquel Rodriguez, SammyB",https://cdnimg.melon.co.kr/cm2/album/images/115/37/891/11537891_20240711112449_500.jpg/melon/resize/120/quality/80/optimize,7MwjbZSNCzPpjpbHre3TJm,0.926,0.514,-4.147,0.137,0.315,0.00054,0.0717,0.705,94.008,해외 RBSOUL
Alone Together,Hannah Rowe,https://cdnimg.melon.co.kr/cm2/album/images/115/37/508/11537508_20240710200415_500.jpg/melon/resize/120/quality/80/optimize,1NDT9PEjlpvQhUkfHhqLIU,0.293,0.485,-7.805,0.0416,0.359,4.66e-06,0.16,0.266,81.157,해외 RBSOUL
Tell Me,HOME,https://cdnimg.melon.co.kr/cm2/album/images/115/60/231/11560231_20240806155920_500.jpg/melon/resize/120/quality/80/optimize,1795z9rReenfn77riAyw0y,0.649,0.544,-7.839,0.0525,0.0216,6.01e-06,0.143,0.825,180.022,JPOP
Colorful,틸 ,https://cdnimg.melon.co.kr/cm2/album/images/115/59/840/11559840_20240806113814_500.jpg/melon/resize/120/quality/80/optimize,48JbZGUetABf4oN1oEYZLJ,0.465,0.156,-16.786,0.0651,0.991,0.926,0.093,0.181,183.054,재즈
BABY BLUE,"Fern., dot.jaime",https://cdnimg.melon.co.kr/cm2/album/images/115/55/654/11555654_20240801111742_500.jpg/melon/resize/120/quality/80/optimize,2hD3oobYcutiJN3u12P6LF,0.677,0.466,-8.357,0.0381,0.142,1.37e-06,0.175,0.435,138.016,해외 RBSOUL
Ullaasam ,"Jakes Bejoy, Sanjith Hegde, Krishna Lasya Muthyala",https://cdnimg.melon.co.kr/cm2/album/images/115/49/681/11549681_20240724145123_500.jpg/melon/resize/120/quality/80/optimize,0ROW5t0PWyBS6k0UizBr6c,0.715,0.602,-8.129,0.0357,0.358,0.000743,0.0486,0.494,139.934,OST
แถวนี้อันตราย ,Tobii,https://cdnimg.melon.co.kr/cm2/album/images/115/42/384/11542384_20240716112315_500.jpg/melon/resize/120/quality/80/optimize,3xSOTbsoGMUcufglF736Vz,0.768,0.563,-7.149,0.0417,0.361,0.0,0.127,0.441,99.977,해외 RBSOUL
Gypsy Woman,Simple Sessions,https://cdnimg.melon.co.kr/cm2/album/images/115/53/563/11553563_20240729202446_500.jpg/melon/resize/120/quality/80/optimize,2yGVQKnl89ueM3IzJ2le8i,0.767,0.267,-12.273,0.0297,0.646,0.0467,0.124,0.333,98.026,해외 RBSOUL
반이라도,JwaNi,https://cdnimg.melon.co.kr/cm2/album/images/115/25/724/11525724_20240628161840_500.jpg/melon/resize/120/quality/80/optimize,24nbvRWcvYYxooqz0bhL9M,0.781,0.315,-5.875,0.0541,0.494,0.0,0.15,0.372,124.988,국내 포크블루스
화숙아,국상현,https://cdnimg.melon.co.kr/cm2/album/images/115/56/731/11556731_20240801164357_500.jpg/melon/resize/120/quality/80/optimize,137OvqpjJF2sioET5b7sbb,0.471,0.951,-3.739,0.172,0.0663,0.806,0.371,0.614,149.95,트로트
Cold Brew ,ashWave ,https://cdnimg.melon.co.kr/cm2/album/images/115/55/254/11555254_20240731144231_500.jpg/melon/resize/120/quality/80/optimize,3BJBbrcxUC7gI4Xi7sksfx,0.733,0.461,-7.967,0.0575,0.327,0.0,0.278,0.276,97.014,국내 RBSOUL
NO TIME,WHITE$THIEF,https://cdnimg.melon.co.kr/cm2/album/images/115/55/290/11555290_20240731145451_500.jpg/melon/resize/120/quality/80/optimize,6hb3f9dKGaUCwdFdcE9VYQ,0.656,0.822,-6.428,0.0794,0.0551,0.000838,0.122,0.324,85.03,인디
처음 그 날처럼,박용하,https://cdnimg.melon.co.kr/cm/album/images/003/60/999/360999_500.jpg/melon/resize/120/quality/80/optimize,3hxUiARMZN2vI82ncecEsn,0.595,0.567,-7.584,0.0323,0.426,2.63e-06,0.0661,0.29,164.006,OST
어머님께,god,https://cdnimg.melon.co.kr/cm/album/images/000/05/286/5286_500.jpg/melon/resize/120/quality/80/optimize,3731F2mROqxhXB4gtdteLn,0.744,0.58,-7.12,0.134,0.694,0.0,0.484,0.549,80.007,발라드
여로,이미자,https://cdnimg.melon.co.kr/cm/album/images/003/15/102/315102_500.jpg/melon/resize/120/quality/80/optimize,45G57DgCXXYTGCYxsM0nin,0.435,0.39,-8.689,0.0318,0.844,0.00136,0.287,0.252,108.122,트로트
Here It Is ,Flo Rida,https://cdnimg.melon.co.kr/cm/album/images/023/12/812/2312812_500.jpg/melon/resize/120/quality/80/optimize,0lQ08hbjK1umHjCYvUrmCp,0.769,0.848,-4.665,0.0588,0.0446,7.74e-06,0.106,0.42,123.01,해외 밴드
Keluar Sarang,Spider,https://cdnimg.melon.co.kr/cm2/album/images/115/52/828/11552828_20240729145224_500.jpg/melon/resize/120/quality/80/optimize,62uCDpWWw5yUKuBaLUdzJf,0.582,0.729,-5.178,0.0368,0.0269,0.0,0.319,0.71,106.961,해외 록메탈
Never Can Be Lonely,Taylor Hollingsworth,https://cdnimg.melon.co.kr/cm2/album/images/115/55/002/11555002_20240731105521_500.jpg/melon/resize/120/quality/80/optimize,4BKtUk15CXLcX9GnrEOC3z,0.502,0.709,-8.593,0.033,0.189,0.00128,0.0926,0.365,96.795,해외 록메탈
존재의 이유 1,김종환,https://cdnimg.melon.co.kr/cm/album/images/003/02/586/302586_500.jpg/melon/resize/120/quality/80/optimize,570ZpnEKdESPL0iSpbEQAS,0.448,0.423,-8.742,0.5,0.494,3.62e-06,0.168,0.247,129.503,트로트
See You Again,"Charlie Puth, Wiz Khalifa",https://cdnimg.melon.co.kr/cm/album/images/023/09/376/2309376_500.jpg/melon/resize/120/quality/80/optimize,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,OST
Who do you kiss?,Tim Moyo,https://cdnimg.melon.co.kr/cm2/album/images/115/35/886/11535886_20240709163445_500.jpg/melon/resize/120/quality/80/optimize,52FwnvZS0yKAWA5tGQX67P,0.544,0.405,-11.394,0.0479,0.44,1.78e-06,0.622,0.264,147.995,해외 RBSOUL
Monster You Made,Ignescent,https://cdnimg.melon.co.kr/cm2/album/images/075/25/850/7525850_20240628033352_500.jpg/melon/resize/120/quality/80/optimize,6lChyAqcOKtsZ5lQSvjMOC,0.562,0.846,-3.474,0.0398,2.15e-05,0.0,0.0918,0.438,106.075,해외 록메탈
HEXED ,Leah Mason,https://cdnimg.melon.co.kr/cm2/album/images/115/60/958/11560958_20240806211203_500.jpg/melon/resize/120/quality/80/optimize,2YsjASle6ww8UK1rui5bEB,0.661,0.495,-6.299,0.0573,0.163,0.0,0.0781,0.565,180.059,POP
Dani California,Red Hot Chili Peppers,https://cdnimg.melon.co.kr/cm/album/images/000/83/399/83399_500.jpg/melon/resize/120/quality/80/optimize,10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,해외 록메탈
Girls In The Room ,Tory Lanez,https://cdnimg.melon.co.kr/cm2/album/images/115/48/847/11548847_20240723190347_500.jpg/melon/resize/120/quality/80/optimize,0mDEjEjJdjtTHKSIBjxRrY,0.612,0.459,-9.455,0.394,0.0633,0.0,0.137,0.302,91.795,해외 RBSOUL
Golden,Elena,https://cdnimg.melon.co.kr/cm2/album/images/115/39/416/11539416_20240712184533_500.jpg/melon/resize/120/quality/80/optimize,1kgzvZTY6q6oAiVyGZebkq,0.792,0.524,-9.426,0.0576,0.0713,3.5e-05,0.117,0.352,109.016,해외 RBSOUL
