title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
벌써 일년,브라운 아이즈,373fb3tsAbcShtD2RZ8edv,https://cdnimg.melon.co.kr/cm/album/images/000/02/393/2393_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.72,0.73,8,-4.205,1,0.0237,0.19,3.44e-06,0.192,0.55,104.017,audio_features,373fb3tsAbcShtD2RZ8edv,spotify:track:373fb3tsAbcShtD2RZ8edv,https://api.spotify.com/v1/tracks/373fb3tsAbcShtD2RZ8edv,https://api.spotify.com/v1/audio-analysis/373fb3tsAbcShtD2RZ8edv,207827,4
...사랑했잖아...,린,6dKKY7BZi4yXS3vwuR6Dmt,https://cdnimg.melon.co.kr/cm/album/images/000/34/289/34289_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.711,0.475,8,-8.516,1,0.0612,0.764,3.31e-06,0.0891,0.558,127.994,audio_features,6dKKY7BZi4yXS3vwuR6Dmt,spotify:track:6dKKY7BZi4yXS3vwuR6Dmt,https://api.spotify.com/v1/tracks/6dKKY7BZi4yXS3vwuR6Dmt,https://api.spotify.com/v1/audio-analysis/6dKKY7BZi4yXS3vwuR6Dmt,243520,4
체념,빅마마,2GQNIuqbHbsSJPjvp91AJg,https://cdnimg.melon.co.kr/cm/album/images/000/27/516/27516_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.605,0.357,8,-8.742,1,0.0365,0.261,0.0,0.116,0.134,135.921,audio_features,2GQNIuqbHbsSJPjvp91AJg,spotify:track:2GQNIuqbHbsSJPjvp91AJg,https://api.spotify.com/v1/tracks/2GQNIuqbHbsSJPjvp91AJg,https://api.spotify.com/v1/audio-analysis/2GQNIuqbHbsSJPjvp91AJg,299427,4
친구라도 될 걸 그랬어,거미,7zc83ZD1QNkFMwj7sLpK8v,https://cdnimg.melon.co.kr/cm/album/images/000/26/396/26396_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.73,0.338,8,-13.635,1,0.0354,0.38,0.000142,0.112,0.496,126.039,audio_features,7zc83ZD1QNkFMwj7sLpK8v,spotify:track:7zc83ZD1QNkFMwj7sLpK8v,https://api.spotify.com/v1/tracks/7zc83ZD1QNkFMwj7sLpK8v,https://api.spotify.com/v1/audio-analysis/7zc83ZD1QNkFMwj7sLpK8v,315307,4
귀로,나얼,5B6ewNeXBcIDHqzsgAn6Dk,https://cdnimg.melon.co.kr/cm/album/images/000/47/037/47037_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.521,0.558,7,-6.309,0,0.0315,0.467,1.41e-05,0.157,0.0584,107.94,audio_features,5B6ewNeXBcIDHqzsgAn6Dk,spotify:track:5B6ewNeXBcIDHqzsgAn6Dk,https://api.spotify.com/v1/tracks/5B6ewNeXBcIDHqzsgAn6Dk,https://api.spotify.com/v1/audio-analysis/5B6ewNeXBcIDHqzsgAn6Dk,266507,3
정말 사랑했을까,브라운 아이드 소울,0xuXybbYxNqKKD4NMr63g4,https://cdnimg.melon.co.kr/cm/album/images/000/32/695/32695_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.469,0.507,7,-6.222,1,0.0299,0.517,0.0,0.107,0.12,66.033,audio_features,0xuXybbYxNqKKD4NMr63g4,spotify:track:0xuXybbYxNqKKD4NMr63g4,https://api.spotify.com/v1/tracks/0xuXybbYxNqKKD4NMr63g4,https://api.spotify.com/v1/audio-analysis/0xuXybbYxNqKKD4NMr63g4,272387,4
우주를 건너,백예린 ,0i2XXofKXlXbZ2sjnh06Jj,https://cdnimg.melon.co.kr/cm/album/images/026/53/573/2653573_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.395,0.564,5,-5.477,0,0.148,0.664,0.0,0.0998,0.45,185.628,audio_features,0i2XXofKXlXbZ2sjnh06Jj,spotify:track:0i2XXofKXlXbZ2sjnh06Jj,https://api.spotify.com/v1/tracks/0i2XXofKXlXbZ2sjnh06Jj,https://api.spotify.com/v1/audio-analysis/0i2XXofKXlXbZ2sjnh06Jj,247173,4
Must Have Love,"SG 워너비, 브라운아이드걸스",5f3TJj7s2R0CmffNXTneF7,https://cdnimg.melon.co.kr/cm/album/images/003/31/377/331377_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.5,0.748,6,-3.967,0,0.0311,0.021,0.0,0.153,0.375,150.0,audio_features,5f3TJj7s2R0CmffNXTneF7,spotify:track:5f3TJj7s2R0CmffNXTneF7,https://api.spotify.com/v1/tracks/5f3TJj7s2R0CmffNXTneF7,https://api.spotify.com/v1/audio-analysis/5f3TJj7s2R0CmffNXTneF7,260075,4
"눈, 코, 입",태양,0lYtIvI7bO51PZSeK22Mbz,https://cdnimg.melon.co.kr/cm/album/images/022/59/140/2259140_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.63,0.516,0,-5.759,1,0.0379,0.736,0.0,0.264,0.254,143.786,audio_features,0lYtIvI7bO51PZSeK22Mbz,spotify:track:0lYtIvI7bO51PZSeK22Mbz,https://api.spotify.com/v1/tracks/0lYtIvI7bO51PZSeK22Mbz,https://api.spotify.com/v1/audio-analysis/0lYtIvI7bO51PZSeK22Mbz,229990,4
Oasis ,Crush,0L26wNt3MUtn7BrTaHGtjj,https://cdnimg.melon.co.kr/cm/album/images/023/27/886/2327886_500.jpg/melon/resize/120/quality/80/optimize,Domestic,국내 RBSOUL,0.46,0.81,4,-4.158,0,0.254,0.222,0.0,0.435,0.836,96.207,audio_features,0L26wNt3MUtn7BrTaHGtjj,spotify:track:0L26wNt3MUtn7BrTaHGtjj,https://api.spotify.com/v1/tracks/0L26wNt3MUtn7BrTaHGtjj,https://api.spotify.com/v1/audio-analysis/0L26wNt3MUtn7BrTaHGtjj,191279,4
