title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Timeless,SG 워너비,5nfb7IPrj9awskmLFSykWr,https://cdnimg.melon.co.kr/cm/album/images/003/99/659/399659_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.671,0.651,11,-5.643,1,0.0302,0.426,0.0,0.079,0.381,108.982,audio_features,5nfb7IPrj9awskmLFSykWr,spotify:track:5nfb7IPrj9awskmLFSykWr,https://api.spotify.com/v1/tracks/5nfb7IPrj9awskmLFSykWr,https://api.spotify.com/v1/audio-analysis/5nfb7IPrj9awskmLFSykWr,237871,4
거리에서,성시경,1J0NAemu98Bg5y39sqqfMI,https://cdnimg.melon.co.kr/cm/album/images/003/28/396/328396_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.581,0.482,7,-7.765,1,0.0294,0.645,0.0,0.147,0.307,131.82,audio_features,1J0NAemu98Bg5y39sqqfMI,spotify:track:1J0NAemu98Bg5y39sqqfMI,https://api.spotify.com/v1/tracks/1J0NAemu98Bg5y39sqqfMI,https://api.spotify.com/v1/audio-analysis/1J0NAemu98Bg5y39sqqfMI,279267,4
라라라,SG 워너비,1cYp7vgkUWZDUJInI6bqef,https://cdnimg.melon.co.kr/cm/album/images/003/76/502/376502_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.375,0.726,0,-4.013,1,0.0607,0.554,0.0,0.0725,0.494,197.675,audio_features,1cYp7vgkUWZDUJInI6bqef,spotify:track:1cYp7vgkUWZDUJInI6bqef,https://api.spotify.com/v1/tracks/1cYp7vgkUWZDUJInI6bqef,https://api.spotify.com/v1/audio-analysis/1cYp7vgkUWZDUJInI6bqef,276853,4
광화문에서 ,규현 ,1YqGY2dW0a9ocyxaB5PtrR,https://cdnimg.melon.co.kr/cm/album/images/022/90/324/2290324_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.53,0.375,3,-6.268,1,0.0285,0.72,0.0,0.118,0.204,135.821,audio_features,1YqGY2dW0a9ocyxaB5PtrR,spotify:track:1YqGY2dW0a9ocyxaB5PtrR,https://api.spotify.com/v1/tracks/1YqGY2dW0a9ocyxaB5PtrR,https://api.spotify.com/v1/audio-analysis/1YqGY2dW0a9ocyxaB5PtrR,282806,4
살다가,SG 워너비,0qqHi5iyYkcbvCpnWwHKLl,https://cdnimg.melon.co.kr/cm/album/images/000/50/578/50578_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.41,0.435,3,-5.76,0,0.0349,0.571,0.0,0.109,0.17,129.368,audio_features,0qqHi5iyYkcbvCpnWwHKLl,spotify:track:0qqHi5iyYkcbvCpnWwHKLl,https://api.spotify.com/v1/tracks/0qqHi5iyYkcbvCpnWwHKLl,https://api.spotify.com/v1/audio-analysis/0qqHi5iyYkcbvCpnWwHKLl,283787,4
All For You,"서인국, 정은지",0HNIIJzAVqPXmUOZFx03Av,https://cdnimg.melon.co.kr/cm/album/images/021/48/020/2148020_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.477,0.756,2,-3.986,1,0.0615,0.38,0.0,0.107,0.43,207.792,audio_features,0HNIIJzAVqPXmUOZFx03Av,spotify:track:0HNIIJzAVqPXmUOZFx03Av,https://api.spotify.com/v1/tracks/0HNIIJzAVqPXmUOZFx03Av,https://api.spotify.com/v1/audio-analysis/0HNIIJzAVqPXmUOZFx03Av,248190,4
...사랑했잖아...,린,6dKKY7BZi4yXS3vwuR6Dmt,https://cdnimg.melon.co.kr/cm/album/images/000/34/289/34289_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.711,0.475,8,-8.516,1,0.0612,0.764,3.31e-06,0.0891,0.558,127.994,audio_features,6dKKY7BZi4yXS3vwuR6Dmt,spotify:track:6dKKY7BZi4yXS3vwuR6Dmt,https://api.spotify.com/v1/tracks/6dKKY7BZi4yXS3vwuR6Dmt,https://api.spotify.com/v1/audio-analysis/6dKKY7BZi4yXS3vwuR6Dmt,243520,4
기다리다,윤하 ,3XTcTwWPQZg9Ob0u4RBIfP,https://cdnimg.melon.co.kr/cm/album/images/003/33/687/333687_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.513,0.455,0,-7.044,1,0.0341,0.739,0.0,0.0988,0.149,137.782,audio_features,3XTcTwWPQZg9Ob0u4RBIfP,spotify:track:3XTcTwWPQZg9Ob0u4RBIfP,https://api.spotify.com/v1/tracks/3XTcTwWPQZg9Ob0u4RBIfP,https://api.spotify.com/v1/audio-analysis/3XTcTwWPQZg9Ob0u4RBIfP,277520,4
내게 오는 길,성시경,5rfOHC8IMqyvqAi4TUrnsn,https://cdnimg.melon.co.kr/cm/album/images/000/02/138/2138_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.512,0.466,3,-9.699,1,0.0315,0.628,0.0,0.115,0.222,143.917,audio_features,5rfOHC8IMqyvqAi4TUrnsn,spotify:track:5rfOHC8IMqyvqAi4TUrnsn,https://api.spotify.com/v1/tracks/5rfOHC8IMqyvqAi4TUrnsn,https://api.spotify.com/v1/audio-analysis/5rfOHC8IMqyvqAi4TUrnsn,239480,4
그녀를 사랑해줘요,하동균,4YQGPR4KGFMnSS8lUQPdbs,https://cdnimg.melon.co.kr/cm/album/images/003/20/278/320278_500.jpg/melon/resize/120/quality/80/optimize,Domestic,발라드,0.518,0.362,8,-8.7,1,0.0325,0.672,1.03e-06,0.21,0.27,70.017,audio_features,4YQGPR4KGFMnSS8lUQPdbs,spotify:track:4YQGPR4KGFMnSS8lUQPdbs,https://api.spotify.com/v1/tracks/4YQGPR4KGFMnSS8lUQPdbs,https://api.spotify.com/v1/audio-analysis/4YQGPR4KGFMnSS8lUQPdbs,259213,4
